UMPQ,Umpqua Holdings Corporation - Common Stock,NASDAQ
13.48,13.71,13.74,13.43
13.62,13.53,13.70,13.50
13.49,13.55,13.66,13.39
13.49,13.99,14.24,13.49
13.88,13.99,14.02,13.53
14.03,13.48,14.12,13.47
13.37,13.37,13.50,13.20
13.46,13.29,13.46,12.99
13.30,13.55,13.62,13.21
13.61,13.59,13.74,13.26
13.63,13.64,13.72,13.47
13.56,13.59,13.77,13.14
13.64,13.94,14.04,13.51
13.82,13.69,14.24,13.63
13.90,13.16,13.95,12.63
13.13,12.91,13.34,12.90
12.85,13.31,13.45,12.85
13.28,12.44,13.28,12.13
12.47,12.36,12.84,12.22
12.34,11.86,12.46,11.69
11.84,11.69,11.86,11.54
11.50,11.94,12.09,11.31
11.34,11.68,11.68,10.87
11.54,11.89,11.97,11.39
11.84,11.49,11.91,11.43
11.67,11.79,11.87,11.57
11.76,11.84,11.88,11.67
12.01,11.99,12.14,11.76
11.87,12.20,12.22,11.87
12.00,12.16,12.34,12.00
12.16,12.10,12.30,12.02
12.07,12.11,12.21,12.03
12.10,12.33,12.36,11.98
12.35,12.33,12.49,12.23
12.34,12.15,12.37,12.10
12.21,12.53,12.54,12.16
12.35,12.40,12.55,12.28
12.40,12.47,12.53,12.17
12.68,12.38,12.68,12.30
12.37,12.59,12.65,12.37
12.67,12.65,12.81,12.59
12.73,12.46,12.84,12.42
12.55,12.80,12.81,12.42
12.82,12.86,12.94,12.78
12.83,13.02,13.11,12.73
13.02,13.00,13.24,12.90
13.02,13.06,13.11,12.86
13.10,12.99,13.20,12.90
13.00,13.02,13.05,12.75
13.02,13.19,13.20,12.89
13.19,13.48,13.49,13.05
13.49,13.25,13.53,13.18
13.32,13.50,13.52,13.26
13.41,13.60,13.68,13.20
13.57,13.64,13.69,13.35
13.58,13.45,13.96,13.44
13.56,13.45,13.70,13.44
13.54,13.19,13.61,13.14
13.17,12.99,13.25,12.85
13.03,13.22,13.28,13.00
