UNG,United States Natural Gas Fund LP,NASDAQ
10.56,10.64,10.66,10.40
10.54,10.32,10.57,10.19
10.59,10.83,10.95,10.55
10.73,10.61,10.96,10.44
10.30,10.41,10.43,10.28
10.05,9.93,10.13,9.78
10.02,10.10,10.15,9.95
9.95,10.36,10.46,9.86
10.42,10.09,10.48,9.95
10.21,10.24,10.35,10.19
10.00,10.09,10.26,9.87
9.97,9.92,10.01,9.90
10.13,10.08,10.27,9.90
10.34,10.35,10.51,10.26
10.23,10.25,10.48,10.20
9.96,9.84,10.04,9.78
9.65,9.49,9.67,9.40
9.39,9.39,9.48,9.22
9.55,9.31,9.56,9.24
9.68,9.80,9.85,9.65
9.83,9.87,10.02,9.74
10.00,9.82,10.06,9.78
9.82,9.83,9.89,9.48
10.09,10.00,10.13,9.75
10.15,9.81,10.20,9.77
9.74,9.62,9.76,9.54
9.68,9.61,9.70,9.50
9.73,9.73,9.78,9.57
9.72,9.86,10.03,9.52
9.95,9.73,10.00,9.63
9.59,9.71,9.79,9.59
9.65,9.42,9.69,9.33
9.19,9.19,9.26,9.13
8.98,9.01,9.01,8.85
8.86,8.80,9.18,8.76
8.94,8.87,8.97,8.77
8.74,8.70,8.82,8.63
8.76,8.70,8.81,8.64
8.73,8.53,8.84,8.49
8.60,8.58,8.63,8.46
8.59,8.65,8.70,8.58
8.66,8.33,8.68,8.28
8.35,8.35,8.37,8.29
8.17,8.26,8.27,8.11
8.30,8.19,8.33,8.13
8.11,8.33,8.33,8.09
8.19,8.06,8.28,8.03
8.09,7.97,8.10,7.95
7.95,7.98,8.08,7.92
7.93,7.90,7.93,7.85
7.82,7.77,7.83,7.77
7.75,7.39,7.76,7.35
7.52,7.52,7.55,7.38
7.35,7.39,7.54,7.34
7.40,7.48,7.71,7.37
7.38,7.38,7.48,7.37
7.30,7.16,7.31,7.11
7.16,7.00,7.25,7.00
7.09,7.03,7.19,6.98
6.90,7.10,7.13,6.89
7.13,6.91,7.16,6.90
6.91,7.29,7.41,6.82
7.27,7.66,7.66,7.23
7.56,7.35,7.65,7.26
7.31,7.16,7.39,7.16
7.09,7.00,7.31,6.89
7.07,7.28,7.32,7.06
7.25,7.15,7.45,7.02
7.18,7.38,7.43,7.04
7.44,7.47,7.60,7.41
7.46,7.15,7.52,7.08
7.17,7.18,7.30,7.10
7.17,7.06,7.25,6.95
6.98,7.09,7.12,6.92
7.06,7.08,7.20,7.01
7.04,7.33,7.38,7.00
7.30,7.58,7.68,7.30
7.54,7.59,7.65,7.43
7.56,7.54,7.64,7.48
7.59,7.60,7.72,7.50
7.51,6.99,7.51,6.93
6.99,6.86,7.01,6.79
6.83,6.98,7.00,6.83
6.97,7.01,7.03,6.91
7.02,6.94,7.04,6.85
6.90,6.81,7.04,6.72
6.92,6.96,7.04,6.81
7.23,7.28,7.38,7.16
7.20,7.25,7.36,7.18
7.35,7.44,7.48,7.32
7.42,7.51,7.69,7.25
