UPV,ProShares Ultra FTSE Europe,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
24.27,23.21,24.27,23.12
27.38,27.24,46.42,26.73
25.94,26.48,27.30,25.91
26.99,27.13,29.00,26.96
26.74,26.13,26.74,26.12
25.45,24.36,25.45,24.04
24.43,24.51,24.70,23.41
25.15,23.50,25.34,23.24
23.52,23.75,23.75,22.93
22.36,22.30,22.86,21.47
21.62,22.81,23.42,21.62
22.39,22.15,22.70,22.15
20.65,21.83,21.83,20.65
22.22,21.60,22.35,21.60
22.60,24.06,24.07,22.60
23.63,23.50,23.90,23.50
23.16,23.44,23.57,23.09
22.81,23.82,23.82,22.81
24.44,23.99,24.44,23.90
22.45,21.59,22.50,21.59
21.81,21.24,21.95,21.21
21.21,21.59,21.59,21.21
21.99,22.03,22.03,21.93
23.03,23.42,23.44,23.02
23.04,23.19,23.55,23.04
24.53,23.95,24.70,23.95
24.94,25.50,25.50,24.89
25.18,25.40,25.40,25.08
25.76,25.86,25.86,25.25
25.64,25.67,25.88,25.59
26.47,26.25,26.47,26.18
25.68,25.06,25.68,25.00
25.09,25.30,25.50,24.82
25.30,25.30,25.30,25.30
24.20,24.16,24.20,23.50
24.21,24.74,24.74,24.21
22.61,22.36,22.61,22.34
22.37,22.00,22.76,22.00
22.70,22.43,22.70,22.20
22.53,22.54,22.54,22.53
24.08,24.09,24.09,24.08
24.45,25.01,25.01,24.30
25.01,25.01,25.01,25.01
25.01,25.01,25.01,25.01
25.51,25.44,25.51,25.43
26.75,26.77,26.77,26.75
26.77,26.77,26.77,26.77
26.77,26.77,26.77,26.77
26.45,25.92,26.45,25.86
26.51,26.30,26.52,25.90
25.47,26.35,26.37,25.47
26.20,25.43,26.20,25.31
26.95,27.52,27.57,26.95
27.33,28.07,28.09,27.20
28.10,28.45,28.46,27.92
28.92,28.84,28.96,28.42
28.71,28.32,28.71,28.24
29.41,28.83,29.41,28.18
27.95,28.62,28.62,27.81
29.97,30.59,30.69,29.97
30.69,30.69,30.69,30.69
30.46,30.58,30.59,30.20
30.16,30.54,30.54,30.16
30.42,30.66,30.66,30.42
30.82,30.82,30.82,30.82
29.76,30.45,30.59,29.46
28.12,27.64,28.12,27.64
27.08,27.20,27.40,27.06
27.35,27.15,27.40,27.11
27.59,27.40,27.62,27.28
28.31,28.31,28.31,28.31
28.12,28.28,28.28,28.12
28.12,27.09,28.14,26.65
26.11,26.17,26.20,26.03
26.27,26.49,26.49,26.27
25.25,25.27,25.56,24.98
24.58,25.19,25.20,24.58
25.99,25.32,25.99,25.32
26.33,26.29,26.33,26.22
25.84,25.49,25.84,25.49
25.57,25.58,25.92,25.57
27.09,27.74,27.79,27.09
27.70,28.15,28.15,27.70
28.46,28.76,28.80,28.46
27.64,27.63,27.74,27.63
28.00,28.20,28.55,28.00
28.93,28.77,28.99,28.61
28.81,28.89,28.96,28.81
29.77,29.98,30.00,29.73
29.79,30.67,30.72,29.78
30.25,30.48,30.48,30.09
30.27,30.44,30.44,30.18
29.89,29.95,29.95,29.89
30.79,31.08,31.08,30.79
31.28,31.18,31.70,30.67
31.58,31.29,31.58,31.05
30.41,30.34,30.75,30.29
31.64,32.42,32.42,31.64
32.27,31.93,32.27,31.89
31.30,32.06,32.06,31.21
32.12,31.98,32.15,31.88
32.58,32.60,32.60,32.50
32.60,32.46,32.60,32.10
32.01,31.40,32.03,31.40
32.66,32.65,32.81,32.65
33.66,33.76,33.77,33.66
33.76,33.76,33.76,33.76
33.96,33.97,33.97,33.96
33.87,33.87,33.87,33.87
33.32,33.85,33.85,33.32
34.81,35.10,35.36,34.81
35.10,35.10,35.10,35.10
35.10,35.10,35.10,35.10
34.92,35.06,35.24,34.92
33.48,33.29,33.48,33.24
33.99,34.90,35.12,33.99
35.42,34.88,35.48,34.77
34.83,34.91,34.92,34.83
34.91,34.91,34.91,34.91
34.34,34.34,34.34,34.34
33.86,33.86,33.86,33.86
34.41,34.41,34.41,34.41
34.41,34.41,34.41,34.41
34.85,34.85,34.85,34.85
35.75,35.61,35.75,35.61
35.28,36.00,36.00,35.26
37.61,37.61,37.61,37.61
37.32,37.32,37.32,37.32
36.37,36.52,36.52,36.12
36.28,36.28,36.28,36.28
36.28,36.28,36.28,36.28
34.90,34.90,34.90,34.90
34.79,34.79,34.79,34.79
34.79,34.79,34.79,34.79
32.38,32.38,32.38,32.38
33.18,33.18,33.18,33.18
34.46,34.46,34.46,34.46
34.46,34.46,34.46,34.46
33.89,33.74,33.89,33.30
32.15,31.68,32.25,31.66
31.68,31.68,31.68,31.68
31.68,31.68,31.68,31.68
31.68,31.68,31.68,31.68
28.93,29.46,30.22,28.93
30.83,31.34,31.34,30.63
32.65,32.65,32.65,32.65
32.91,33.24,33.24,32.91
32.82,32.82,32.82,32.82
34.25,33.36,34.25,33.36
33.36,33.36,33.36,33.36
33.38,33.47,33.47,33.37
33.47,33.47,33.47,33.47
34.82,34.82,34.82,34.82
34.66,34.52,34.94,34.52
34.29,34.29,34.29,34.29
34.29,34.29,34.29,34.29
33.51,33.49,33.51,33.49
33.92,33.88,33.92,33.88
34.17,34.21,34.21,34.17
34.18,34.21,34.22,34.18
34.03,34.20,34.20,34.03
33.67,33.87,33.87,33.50
33.88,33.88,33.88,33.88
33.88,33.88,33.88,33.88
34.14,34.14,34.14,34.14
34.18,34.80,34.80,34.17
35.13,35.12,35.31,35.00
35.47,34.67,35.51,34.67
33.78,34.53,34.53,33.78
34.43,33.57,34.43,33.47
33.08,33.18,33.18,32.87
32.97,32.94,32.97,32.94
33.23,33.48,33.52,33.23
33.48,33.48,33.48,33.48
36.03,35.85,36.03,35.85
35.85,35.85,35.85,35.85
36.81,36.80,36.83,36.80
36.75,36.58,36.75,36.40
35.34,35.87,35.87,35.14
36.76,36.73,36.76,36.73
36.73,36.73,36.73,36.73
36.53,36.56,36.56,36.53
37.69,37.77,37.77,37.58
38.12,38.19,38.27,38.12
37.70,36.40,37.70,36.34
37.05,37.23,37.23,36.99
38.38,38.38,38.38,38.38
38.69,38.62,38.69,38.60
38.11,38.00,38.11,37.56
38.07,38.10,38.13,38.07
38.24,38.46,38.50,38.24
38.62,38.72,38.72,38.48
39.14,38.80,39.24,38.80
38.04,38.04,38.04,38.04
38.12,38.60,38.60,38.12
38.35,38.42,38.42,38.21
38.42,38.28,38.42,38.23
38.28,38.28,38.28,38.28
38.99,39.61,39.70,38.99
39.50,39.81,39.81,39.50
38.26,37.59,38.68,37.59
37.76,37.76,37.76,37.76
37.59,38.00,38.00,37.59
38.38,38.38,38.38,38.38
39.37,39.37,39.37,39.37
39.73,38.60,39.74,38.60
38.46,38.46,38.46,38.46
39.85,40.01,40.01,39.44
40.00,39.77,40.00,39.77
39.46,38.32,39.46,38.32
38.00,38.78,38.78,38.00
38.78,38.78,38.78,38.78
37.00,36.68,37.12,36.68
36.47,37.14,37.14,36.47
36.55,36.55,36.55,36.55
33.67,34.93,34.93,33.54
34.00,33.02,34.00,32.11
34.94,35.04,35.04,34.94
36.29,36.01,36.29,36.01
37.21,37.62,37.62,37.10
37.57,37.37,37.57,37.37
37.34,37.37,37.37,37.32
37.74,38.44,38.44,37.33
37.97,38.15,38.21,37.96
37.87,37.90,37.90,37.87
37.90,37.90,37.90,37.90
38.42,38.79,38.79,38.42
38.50,38.50,38.50,38.50
38.53,38.53,38.53,38.53
39.73,39.59,39.86,39.58
39.29,39.95,39.95,39.29
41.00,40.83,41.00,40.83
40.79,40.79,40.79,40.79
41.29,41.37,41.37,41.29
41.50,41.56,41.56,41.47
40.63,40.25,40.75,40.25
40.85,40.85,40.85,40.85
40.85,40.85,40.85,40.85
40.35,40.38,40.52,40.35
38.51,38.34,38.51,37.47
38.97,39.27,39.27,38.81
39.27,39.27,39.27,39.27
39.27,39.27,39.27,39.27
42.29,42.37,42.43,41.98
42.61,43.00,43.00,42.61
43.46,43.59,43.59,43.44
44.36,44.77,44.85,44.22
44.91,45.15,45.15,44.91
45.60,44.97,45.70,44.93
44.30,44.26,44.93,43.99
44.60,43.52,44.60,43.51
42.16,41.35,42.16,41.25
42.60,41.62,42.60,41.62
40.44,41.48,41.51,40.44
41.85,42.32,42.37,41.71
42.25,40.74,42.25,40.44
40.51,41.35,41.59,40.20
41.17,39.92,41.17,39.92
39.60,40.25,40.59,39.60
39.52,39.99,40.00,39.18
40.44,40.44,40.44,40.44
41.35,41.33,41.35,41.33
40.96,40.46,40.96,40.19
38.15,38.16,38.31,37.87
38.16,38.16,38.16,38.16
38.63,38.72,38.72,38.54
39.87,39.87,39.87,39.87
40.55,40.55,40.55,40.55
42.21,41.69,42.21,41.64
42.02,40.75,42.02,40.75
40.75,40.75,40.75,40.75
41.25,41.25,41.25,41.25
40.49,39.97,40.49,39.97
41.00,40.47,41.00,40.47
