URE,ProShares Ultra Real Estate,NASDAQ
7.04,6.85,7.10,6.76
6.86,6.89,6.90,6.69
6.88,6.84,6.97,6.81
6.86,6.99,7.06,6.72
6.96,6.91,6.98,6.78
6.99,6.96,7.04,6.88
6.83,6.73,6.95,6.66
6.74,6.97,7.00,6.73
6.94,6.92,6.99,6.86
6.87,6.82,6.92,6.76
6.79,7.08,7.11,6.78
6.96,6.93,6.97,6.79
6.92,6.54,7.02,6.50
6.49,6.23,6.63,6.19
6.38,6.33,6.39,6.08
6.22,6.21,6.41,6.19
6.26,6.33,6.35,6.04
6.40,6.20,6.43,6.10
6.31,6.14,6.41,6.06
6.23,6.34,6.37,6.20
6.38,6.58,6.62,6.27
6.51,6.41,6.52,6.32
6.29,5.94,6.31,5.92
5.96,6.16,6.19,5.78
6.16,5.86,6.22,5.85
6.01,5.85,6.03,5.74
5.86,5.84,5.99,5.63
5.83,5.94,5.95,5.70
5.81,6.06,6.06,5.76
6.18,6.38,6.40,6.16
6.40,6.50,6.54,6.40
6.44,6.64,6.70,6.41
6.62,6.66,6.75,6.56
6.68,6.71,6.79,6.64
6.65,6.60,6.76,6.58
6.61,6.74,6.75,6.61
6.60,6.81,6.82,6.52
6.82,6.79,6.94,6.72
6.86,6.91,6.98,6.84
6.95,6.92,6.99,6.89
6.94,6.88,6.98,6.87
6.88,6.93,6.97,6.87
7.00,7.28,7.32,6.98
7.29,7.43,7.49,7.27
7.38,7.52,7.69,7.35
7.54,7.57,7.65,7.45
7.50,7.64,7.66,7.44
7.76,7.77,7.85,7.64
7.73,7.72,7.83,7.57
7.79,8.10,8.16,7.75
8.18,8.33,8.38,8.11
8.29,8.27,8.42,8.25
8.08,8.08,8.35,8.08
8.01,8.30,8.34,7.96
8.27,8.23,8.31,8.09
8.15,8.27,8.38,8.14
8.38,8.32,8.60,8.32
8.38,8.25,8.46,8.18
8.35,8.30,8.37,8.21
8.35,8.28,8.38,8.23
8.19,8.14,8.32,8.12
8.25,8.21,8.27,8.09
8.30,8.55,8.57,8.25
8.52,8.90,8.94,8.45
8.86,8.52,8.90,8.44
8.45,8.50,8.57,8.41
8.59,8.78,8.81,8.51
8.84,8.66,8.85,8.65
8.66,9.08,9.13,8.66
9.25,9.07,9.25,8.97
44.97,43.18,45.28,43.15
43.00,41.30,43.75,41.15
40.76,41.63,42.31,40.50
42.24,43.00,43.07,41.36
43.00,44.52,45.09,42.98
44.03,45.94,46.25,43.51
46.26,47.06,47.22,45.35
47.43,47.70,48.41,47.01
47.06,44.75,47.62,44.54
45.54,44.95,45.71,44.53
46.36,48.74,48.80,46.04
48.52,45.67,49.29,45.48
46.44,48.47,49.00,46.38
47.20,46.14,47.38,45.25
44.66,44.83,46.55,43.58
44.24,41.27,44.94,16.20
41.70,39.90,43.24,38.58
43.95,45.21,45.26,43.37
43.87,45.26,46.26,43.62
45.90,46.69,47.08,45.30
46.96,45.50,47.10,45.15
44.54,42.63,44.62,41.58
42.73,42.59,44.09,40.10
43.74,40.41,43.95,40.01
39.70,39.62,41.44,37.66
37.80,35.77,38.46,35.71
34.85,38.12,38.33,34.32
38.39,36.56,38.71,36.48
34.40,37.30,37.40,33.75
38.38,36.99,39.45,36.56
38.86,41.11,41.12,38.09
41.00,39.87,41.59,39.58
38.84,38.34,40.25,38.20
38.88,40.00,40.09,37.63
40.20,39.77,40.49,39.09
38.29,35.43,38.90,35.12
35.67,35.11,37.00,34.98
35.35,36.28,36.43,33.63
37.00,36.67,38.80,36.35
38.32,39.76,40.05,37.60
38.90,40.59,40.80,38.73
41.59,41.53,42.41,40.75
42.10,43.34,43.48,41.48
42.69,42.75,43.38,42.18
42.85,42.82,43.21,41.86
43.04,42.56,43.19,42.17
43.80,41.88,43.99,41.62
41.93,39.31,42.31,39.20
39.23,39.52,40.48,38.20
39.22,37.97,39.40,37.70
38.30,39.84,40.08,37.80
40.13,38.81,40.16,38.55
37.65,36.45,37.78,35.80
36.44,35.68,37.50,35.44
35.67,35.55,36.05,33.72
35.74,34.16,35.99,33.82
35.32,32.80,35.83,32.11
32.97,35.89,36.00,32.86
36.73,36.70,37.32,35.44
36.50,37.69,37.80,36.47
37.45,37.91,38.19,36.78
39.00,39.63,39.97,38.65
39.21,39.12,39.81,38.10
39.13,38.94,39.24,37.43
38.46,36.54,38.52,35.96
36.71,37.32,37.77,35.53
36.24,38.64,38.94,36.00
39.04,37.14,39.30,36.80
38.01,39.86,40.40,37.99
39.77,40.85,40.90,38.53
40.85,42.97,43.07,40.42
43.65,42.79,43.88,41.70
42.44,42.69,43.64,42.19
43.32,41.97,43.50,41.10
40.94,42.28,42.81,40.87
43.55,44.90,45.20,43.30
44.60,44.17,44.79,43.55
44.48,44.63,44.74,43.78
44.00,43.54,44.63,43.32
42.57,43.25,43.48,41.90
43.58,44.20,44.45,43.18
43.42,43.33,44.24,42.47
41.78,41.28,42.36,40.64
40.35,40.32,41.18,40.00
40.24,40.19,40.96,40.08
40.03,40.23,40.96,39.52
41.03,41.94,42.53,40.57
42.11,42.06,42.64,41.44
41.77,40.15,41.85,39.71
39.78,39.85,40.01,39.09
40.14,39.47,40.53,39.47
38.42,39.12,39.68,37.80
38.56,40.20,40.57,38.38
40.58,39.75,41.21,39.61
40.25,41.03,41.10,38.60
40.80,40.32,41.52,40.26
40.09,41.02,41.24,39.75
41.99,43.61,43.80,41.96
43.63,44.65,44.78,43.47
45.80,45.81,46.00,45.00
45.31,44.52,45.46,44.47
44.79,44.66,45.31,44.44
45.66,43.91,45.85,43.62
44.27,44.30,44.68,43.67
45.15,45.65,45.80,44.88
45.41,45.40,46.00,44.92
45.05,46.11,46.39,44.77
45.86,45.67,46.20,45.32
45.98,45.86,46.25,45.14
46.16,47.99,48.29,46.06
47.98,46.30,47.98,46.20
45.95,45.34,46.65,45.10
44.68,43.33,44.93,43.02
44.40,45.62,45.77,44.31
46.05,44.74,46.05,44.36
44.86,45.07,45.25,43.46
44.85,44.37,44.90,44.02
44.96,44.49,45.78,43.95
45.00,45.00,45.40,43.95
44.77,45.75,45.75,44.73
46.38,47.01,47.35,45.74
46.74,46.65,46.95,46.11
47.06,46.81,47.40,46.43
46.78,47.00,47.29,46.34
47.09,46.93,47.35,46.76
46.63,47.71,47.98,46.36
48.26,48.62,49.50,47.96
48.43,48.36,48.98,47.73
48.66,48.21,49.16,48.04
48.00,49.40,49.40,47.97
48.11,48.18,49.57,47.78
48.24,50.11,50.92,48.24
50.50,49.98,51.11,49.40
50.26,49.97,50.61,49.39
50.57,50.17,50.79,50.08
49.40,49.46,49.76,48.99
49.05,48.59,49.30,47.97
48.95,47.93,49.29,47.08
47.79,48.00,48.42,47.62
48.42,48.77,49.68,48.21
49.47,49.43,49.71,48.87
49.50,49.37,49.61,48.56
50.26,51.78,51.92,50.11
52.00,52.82,53.43,51.40
52.42,52.28,52.82,51.47
52.70,48.54,52.71,47.74
