USB,U.S. Bancorp Common Stock,NASDAQ
22.57,22.88,22.91,22.53
22.76,23.46,23.51,22.74
23.43,23.71,23.87,23.32
23.64,24.17,24.48,23.50
23.97,24.21,24.26,23.74
24.50,24.32,24.50,24.11
24.18,24.31,24.54,24.04
24.29,24.71,24.89,24.12
24.60,25.33,25.41,24.53
25.22,24.62,25.22,24.46
24.49,24.49,24.77,24.09
24.80,25.01,25.34,24.77
25.22,25.14,25.74,24.66
25.06,24.67,26.84,24.57
25.01,24.81,25.13,24.42
24.39,24.31,24.91,24.23
24.17,25.12,25.23,24.12
25.23,24.99,25.37,24.79
25.20,25.08,25.46,24.89
25.15,25.18,25.36,24.90
25.16,24.87,25.31,24.75
24.76,24.46,24.85,24.22
24.29,23.65,24.40,23.62
23.83,23.97,24.25,23.28
23.92,23.49,24.03,23.41
23.63,23.49,23.86,23.26
23.47,23.61,23.88,23.27
23.67,23.49,23.70,23.29
23.25,23.26,23.39,22.98
23.52,23.86,23.88,23.22
23.84,23.73,23.89,23.48
23.63,23.91,24.00,23.53
23.83,24.14,24.25,23.81
24.50,24.55,24.71,24.26
24.43,24.27,24.63,24.20
24.43,24.78,24.91,24.38
24.15,24.30,24.78,24.00
24.21,24.61,24.71,24.21
24.62,24.51,24.73,24.39
24.85,24.74,24.91,24.58
24.69,24.65,24.91,24.61
24.67,24.74,24.81,24.55
24.86,25.20,25.25,24.64
25.15,24.99,25.31,24.99
24.80,24.67,24.88,24.52
24.80,24.96,25.20,24.76
24.87,25.47,25.52,24.82
25.69,25.67,26.00,25.56
25.59,25.90,25.98,25.45
25.96,26.12,26.14,25.80
26.03,26.21,26.32,25.90
26.09,25.99,26.26,25.80
26.14,26.14,26.39,25.77
25.89,26.22,26.38,25.87
26.23,26.25,26.30,25.94
26.10,26.19,26.45,26.10
26.34,26.17,26.70,26.13
26.25,26.05,26.44,25.83
26.03,25.96,26.15,25.80
25.98,25.86,26.21,25.82
25.71,25.88,26.00,25.64
26.04,26.24,26.26,25.87
26.32,26.47,26.48,26.15
26.38,27.08,27.18,26.38
27.14,26.70,27.22,26.48
26.56,27.13,27.29,26.50
27.15,27.16,27.27,26.88
27.21,27.51,27.61,27.12
27.43,27.53,27.64,27.27
27.71,28.25,28.31,27.66
28.24,28.26,28.43,28.01
28.18,27.45,28.25,26.66
27.11,27.61,27.70,26.98
27.33,28.21,28.39,27.14
27.59,27.94,28.42,27.41
27.64,27.37,27.72,27.09
27.38,27.30,27.44,26.99
27.23,26.87,27.43,26.79
26.66,26.23,26.98,26.15
26.58,26.57,26.93,26.40
26.87,27.29,27.68,26.75
27.39,26.77,27.46,26.75
26.96,27.22,27.33,26.77
26.87,26.50,27.04,26.27
26.17,26.42,26.81,26.07
26.26,25.48,26.52,24.25
25.40,25.15,25.96,24.90
26.40,26.54,26.76,26.12
26.09,26.68,27.10,26.00
26.86,26.88,27.00,26.63
26.75,26.38,26.85,26.38
26.13,25.51,26.14,25.13
25.55,25.61,25.67,24.98
25.58,24.36,25.72,24.11
24.22,24.15,24.67,23.97
23.68,23.21,23.97,23.20
22.23,23.98,24.04,22.16
24.15,23.59,24.22,23.49
22.86,23.89,23.89,22.86
24.21,23.63,24.31,23.50
23.84,24.43,24.46,23.70
24.44,23.96,24.44,23.85
23.73,23.29,24.11,23.26
23.51,23.99,24.02,23.17
24.02,23.57,24.10,23.37
23.02,22.85,23.22,22.78
23.00,22.46,23.12,22.45
22.35,22.74,22.78,22.06
22.94,22.57,23.15,22.52
22.94,23.68,23.72,22.90
23.35,23.31,23.65,23.14
23.42,22.82,23.42,22.73
23.00,23.20,23.20,22.73
23.02,23.12,23.27,22.88
23.12,23.06,23.25,22.91
23.16,23.57,23.61,23.02
23.79,23.67,23.98,23.57
23.75,23.55,24.00,23.47
23.54,23.13,23.58,22.92
22.93,22.61,23.06,22.50
23.08,23.36,23.48,22.76
23.30,23.11,23.44,23.04
23.00,22.62,23.20,22.50
22.70,22.35,23.10,22.30
22.26,22.33,22.68,21.85
22.44,21.88,22.51,21.73
22.31,22.04,22.32,21.77
22.07,22.93,22.98,21.90
23.13,23.24,23.32,22.82
23.23,23.91,23.94,23.06
23.82,23.77,23.89,23.52
24.03,24.43,24.56,24.02
24.33,24.14,24.35,23.94
24.25,24.40,24.48,23.67
24.20,23.04,24.25,23.01
22.99,22.99,23.24,22.65
22.61,23.15,23.20,22.48
23.73,23.07,24.00,23.00
23.40,23.66,23.91,23.30
23.58,23.70,23.95,23.33
23.74,24.12,24.18,23.60
24.34,24.31,24.48,24.19
24.21,23.97,24.32,23.86
24.13,23.94,24.15,23.55
23.80,23.90,24.06,23.64
24.20,24.51,24.52,24.03
24.34,24.22,24.51,24.17
24.35,23.93,24.35,23.86
23.75,23.68,23.80,23.38
23.38,23.22,23.47,22.87
23.37,23.64,23.71,22.98
23.37,23.44,23.63,23.23
23.04,22.48,23.10,22.47
22.17,22.44,22.55,22.10
