USG,USG Corporation Common Stock,NASDAQ
14.22,14.51,14.65,14.10
14.49,14.81,14.85,14.31
14.66,14.52,14.96,14.31
14.58,15.74,15.85,14.58
15.72,16.13,16.21,15.60
16.17,15.69,16.70,15.46
15.53,15.14,15.60,14.97
15.19,14.95,15.34,14.70
14.94,14.79,15.00,14.73
14.81,14.19,14.83,14.13
14.23,14.58,14.66,14.23
14.32,14.45,14.52,14.19
14.40,13.93,14.54,13.87
13.96,13.63,14.61,13.60
13.93,13.77,13.97,13.52
13.66,14.01,14.46,13.59
13.54,12.98,13.59,12.71
13.08,12.35,13.18,12.31
12.43,12.01,12.74,11.96
12.07,12.10,12.24,11.99
12.28,12.87,13.04,12.19
12.87,12.32,12.87,12.23
12.16,11.78,12.19,11.76
11.77,12.00,12.08,11.21
12.00,11.58,12.25,11.55
11.79,11.99,12.18,11.63
12.00,11.98,12.11,11.45
11.90,12.46,12.50,11.77
12.26,13.21,13.22,12.19
13.28,13.15,13.31,12.79
13.11,13.10,13.15,12.98
13.03,13.23,13.30,12.95
13.27,13.39,13.44,13.10
13.44,13.26,13.53,13.14
13.28,13.10,13.48,12.75
13.13,13.07,13.34,12.75
12.82,13.20,13.21,12.67
13.16,13.48,13.50,12.98
13.60,14.70,14.70,13.39
14.69,14.62,14.76,14.38
14.60,14.96,14.96,14.43
14.95,15.35,15.38,14.80
15.44,15.40,15.49,15.25
15.46,15.43,15.48,15.15
15.15,15.16,15.44,15.09
15.20,15.17,15.48,15.10
15.28,15.32,15.34,15.05
15.29,15.20,15.43,15.09
15.15,15.26,15.28,14.72
15.33,15.65,15.75,15.05
15.71,16.20,16.44,15.61
16.21,15.73,16.35,15.72
15.51,15.51,15.93,15.36
15.32,15.95,16.02,15.11
15.98,16.35,16.35,15.84
16.23,16.28,16.45,16.07
16.40,16.79,17.05,16.40
16.92,16.85,17.46,16.58
16.91,17.50,17.54,16.82
17.42,17.37,17.63,17.25
17.37,17.16,17.39,17.07
17.27,17.29,17.44,17.00
17.34,18.00,18.04,17.34
17.93,17.58,18.05,17.55
17.57,17.50,17.87,17.35
17.33,18.00,18.04,16.88
17.91,18.62,18.64,17.89
18.63,19.15,19.33,18.42
19.04,18.86,19.41,18.85
19.05,19.84,19.86,19.05
19.74,19.77,19.99,19.43
19.69,19.42,19.95,18.93
19.11,19.18,19.39,18.60
18.71,20.09,20.28,18.71
19.97,21.12,21.41,19.97
20.97,22.54,22.75,20.59
22.63,23.86,24.75,22.52
23.89,24.62,25.59,23.86
24.48,22.88,24.73,22.65
23.30,23.25,24.14,23.05
23.67,24.69,24.82,23.65
24.76,23.60,25.45,23.56
23.74,24.97,25.05,23.65
24.29,23.09,24.29,22.89
22.44,21.91,22.95,21.00
21.62,20.74,22.46,18.72
20.44,19.56,21.31,19.24
21.23,21.48,21.75,20.83
21.18,21.40,22.20,20.79
21.50,22.46,22.75,21.46
22.37,22.24,22.64,21.80
22.04,20.95,22.04,20.28
21.01,20.53,21.45,19.58
20.76,19.76,21.25,19.58
19.49,18.87,19.49,18.13
18.10,17.28,18.10,17.07
16.71,17.17,17.71,16.25
17.19,16.87,17.70,16.85
16.19,16.82,17.00,15.77
17.40,17.24,18.30,17.18
17.68,18.29,18.31,17.41
18.21,17.52,18.30,17.41
17.04,16.66,17.61,16.60
16.92,17.28,17.35,16.66
17.67,17.66,17.79,17.10
17.17,16.26,17.19,16.15
16.28,14.95,16.34,14.89
15.10,15.39,15.51,14.67
15.82,15.33,16.33,15.21
15.72,15.87,16.00,15.20
15.57,15.90,15.93,15.30
16.00,15.92,16.51,15.85
16.11,16.33,16.38,15.80
16.00,16.35,16.55,15.61
16.45,15.71,16.47,15.53
15.74,15.37,15.80,15.27
15.43,15.01,15.84,14.85
15.00,13.98,15.21,13.75
13.94,14.42,14.58,13.46
14.23,13.88,14.44,13.85
13.91,14.07,14.17,13.65
14.25,13.71,14.38,13.67
13.29,12.53,13.29,12.34
12.39,12.08,12.61,12.00
12.08,12.26,12.30,11.58
12.30,11.93,12.40,11.80
12.20,11.65,12.45,11.58
11.67,12.36,12.37,11.52
12.63,12.40,12.78,12.12
12.50,12.73,12.75,12.25
12.70,12.24,12.79,12.16
12.55,13.51,13.59,12.51
13.44,13.19,13.44,13.00
13.13,13.23,13.27,12.81
13.09,12.32,13.10,12.24
12.49,12.30,12.57,12.00
12.12,13.24,13.33,12.00
13.51,13.08,13.60,12.82
13.25,13.17,13.72,12.28
13.03,13.89,13.96,12.83
13.86,13.86,13.97,13.62
13.79,13.28,13.92,13.18
13.19,12.29,13.31,12.24
12.41,12.13,12.64,11.92
12.01,12.02,12.18,11.85
12.51,12.47,12.51,12.02
12.40,12.10,12.48,12.08
12.22,12.02,12.30,11.92
12.06,11.86,12.06,11.77
11.77,12.01,12.11,11.70
12.07,12.63,12.67,12.07
12.44,12.24,12.63,12.08
12.05,11.85,12.18,11.81
11.70,11.48,11.90,11.46
11.49,11.68,11.97,11.48
11.58,11.83,11.98,11.56
12.01,12.25,12.33,11.95
12.26,12.49,12.68,12.12
12.42,12.08,12.50,12.06
12.04,12.34,12.40,11.83
12.38,11.88,12.48,11.85
11.67,12.21,12.41,11.34
12.14,12.72,12.83,11.97
12.89,12.20,12.97,12.16
12.29,12.49,12.56,12.04
12.49,12.17,12.68,12.13
12.14,12.17,12.51,12.03
12.48,12.73,12.74,12.38
12.74,13.79,13.87,12.74
14.21,13.69,14.42,13.56
13.48,13.03,13.53,12.97
13.04,12.89,13.25,12.84
13.19,12.99,13.29,12.74
13.12,12.93,13.24,12.83
13.09,13.45,13.45,13.09
13.47,13.25,13.49,13.12
13.22,13.02,13.30,12.98
12.98,12.80,13.04,12.65
12.95,13.02,13.09,12.71
12.89,13.21,13.24,12.62
13.55,13.84,14.17,13.53
13.93,13.16,13.93,13.08
13.07,12.92,13.20,12.75
13.16,13.49,13.55,13.06
13.49,13.67,13.84,13.16
13.82,13.44,13.85,13.34
13.40,13.05,13.44,12.99
13.15,13.19,13.40,12.71
13.48,13.03,13.48,12.88
13.01,12.80,13.12,12.74
12.96,13.07,13.13,12.78
13.09,13.13,13.33,13.03
13.23,13.01,13.24,12.94
12.99,13.08,13.21,12.93
13.13,13.06,13.15,12.95
13.00,13.09,13.14,12.75
13.15,12.94,13.15,12.81
12.97,12.35,12.98,12.27
12.45,12.12,12.50,12.06
12.17,12.03,12.17,11.89
11.84,11.85,12.27,11.77
11.75,12.12,12.20,11.46
12.20,12.08,12.50,11.96
12.08,12.10,12.37,12.00
12.23,12.99,13.24,12.15
12.86,12.71,12.91,12.63
12.55,12.79,12.83,12.51
12.96,12.84,12.97,12.52
12.81,12.68,12.83,12.63
12.81,13.01,13.07,12.72
13.10,13.21,13.31,12.91
13.28,13.05,13.28,12.90
13.36,14.20,14.23,13.31
14.24,14.22,15.00,14.15
14.09,14.25,14.28,13.89
14.35,13.76,14.35,13.75
13.78,14.26,14.27,13.67
14.06,14.63,14.66,13.95
14.50,13.62,14.60,13.50
13.76,13.06,13.77,13.03
13.06,12.72,13.08,12.53
12.71,12.72,12.81,12.57
12.95,12.88,13.15,12.83
12.88,12.89,12.95,12.75
12.82,12.79,12.86,12.60
12.60,12.63,12.94,12.54
12.80,13.15,13.15,12.69
13.08,13.10,13.20,13.00
13.02,12.96,13.10,12.75
12.78,12.69,12.90,12.65
12.97,13.44,13.46,12.91
13.36,14.25,14.43,13.29
14.10,14.08,14.35,13.77
13.85,14.31,14.50,13.85
14.20,13.81,14.42,13.81
13.80,13.98,14.19,13.58
14.15,14.09,14.22,13.82
14.19,14.65,14.79,14.00
14.76,14.66,14.86,14.40
14.67,14.34,14.73,14.25
14.27,14.31,14.64,14.18
14.30,14.51,14.55,14.21
14.48,14.96,14.96,14.46
15.00,15.93,16.00,14.91
16.00,16.45,16.64,15.73
16.43,16.66,16.67,16.21
16.61,16.16,16.75,15.98
16.07,17.11,17.15,16.07
