VCF,Delaware Investments Colorado Municipal Income Fund,NASDAQ
13.67,13.19,13.67,13.15
13.21,13.55,13.68,13.15
13.66,13.68,13.68,13.52
13.65,13.60,13.65,13.51
13.52,13.60,13.68,13.40
13.62,13.45,13.62,13.45
13.46,13.61,13.75,13.36
13.68,13.39,13.68,13.39
13.58,13.45,13.58,13.45
13.58,13.58,13.58,13.58
13.73,13.54,13.73,13.41
13.66,13.47,13.66,13.47
13.50,13.59,13.74,12.99
13.70,13.41,13.70,13.41
13.65,13.39,13.72,13.39
13.45,13.33,13.45,13.24
13.34,13.35,13.35,13.33
13.35,13.29,13.35,13.29
13.37,13.35,13.37,13.32
13.35,13.44,13.44,13.25
13.45,13.46,13.46,13.43
13.46,13.47,13.61,13.41
13.63,13.59,13.63,13.57
13.60,13.52,13.60,13.52
13.68,13.55,13.68,13.55
14.27,13.52,14.27,13.37
13.65,13.48,13.65,13.48
13.65,13.65,13.65,13.65
13.65,13.55,13.65,13.49
13.52,13.56,13.56,13.52
13.54,13.50,13.54,13.50
13.65,13.58,13.65,13.58
13.56,13.50,13.56,13.50
13.58,13.58,13.58,13.50
13.58,13.74,13.75,13.50
13.70,13.82,13.82,13.58
13.82,13.60,13.82,13.60
13.90,13.82,13.90,13.73
14.54,13.75,14.54,13.66
13.78,13.63,13.89,13.61
13.61,13.50,13.61,13.50
13.62,13.62,13.62,13.50
13.67,13.67,13.67,13.66
13.59,13.47,13.59,13.45
13.55,13.64,13.64,13.55
13.47,13.55,13.57,13.47
13.57,13.54,13.64,13.50
13.45,13.48,13.57,13.44
13.35,13.29,13.56,13.27
13.29,13.35,13.44,13.29
13.49,13.35,13.49,13.35
13.35,13.28,13.36,13.27
13.40,13.40,13.40,13.25
13.40,13.32,13.41,13.27
13.48,13.43,13.48,13.36
13.42,13.35,13.43,13.33
13.34,13.38,13.43,13.34
13.68,13.31,13.68,13.31
13.34,13.40,13.46,13.29
13.36,13.39,13.52,13.32
13.39,13.39,13.39,13.39
13.38,13.28,13.40,13.25
13.29,13.32,13.32,13.29
13.28,13.30,13.30,13.25
13.22,13.18,13.22,13.18
13.18,13.26,13.26,13.15
13.30,13.20,13.30,13.20
13.22,13.40,13.40,13.22
13.40,13.33,13.40,13.33
13.26,13.26,13.26,13.15
13.21,13.34,13.40,13.21
13.32,13.32,13.35,13.24
13.30,13.39,13.39,13.30
13.61,13.30,13.61,13.20
13.26,13.32,13.32,13.26
13.32,13.31,13.32,13.31
13.36,13.34,13.36,13.30
13.40,13.31,13.40,13.31
13.44,13.32,13.44,13.25
13.28,13.30,13.32,13.28
13.31,13.36,13.36,13.31
13.60,13.34,13.60,13.33
13.47,13.45,13.47,13.35
13.50,13.42,13.50,13.36
13.45,13.35,13.45,13.35
13.40,13.39,13.45,13.25
13.49,13.38,13.49,13.04
13.50,13.37,13.50,13.37
13.46,13.44,13.47,13.32
13.43,13.43,13.43,13.41
13.43,13.42,13.43,13.41
13.43,13.47,13.47,13.42
13.43,13.41,13.43,13.40
13.53,13.35,13.53,13.20
13.40,13.33,13.43,13.33
13.39,13.39,13.39,13.39
13.40,13.25,13.40,13.25
13.32,13.20,13.33,13.20
13.24,13.40,13.40,13.24
13.40,13.27,13.40,13.21
13.21,13.23,13.30,13.21
13.53,13.41,13.53,13.39
13.41,13.41,13.41,13.41
13.46,13.42,13.52,13.30
13.54,13.56,13.56,13.54
13.54,13.54,13.54,13.48
13.54,13.53,13.54,13.50
13.53,13.43,13.53,13.38
13.45,13.37,13.45,13.37
13.35,13.33,13.35,13.30
13.27,13.36,13.36,13.27
13.43,13.31,13.43,13.31
13.44,13.40,13.44,13.07
13.40,13.40,13.40,13.40
13.50,13.37,13.50,13.21
13.29,13.23,13.30,13.20
13.34,13.30,13.34,13.22
13.35,13.52,13.53,13.29
13.54,13.41,13.54,13.41
13.43,13.51,13.54,13.36
13.54,13.50,13.54,13.48
13.54,13.58,13.58,13.38
13.60,13.37,13.60,13.37
13.37,13.49,13.63,13.28
13.42,13.35,13.42,13.15
13.40,13.30,13.40,13.30
