VEA,Vanguard FTSE Developed Markets ETF,NASDAQ
35.18,35.12,35.19,34.88
35.16,35.14,35.27,34.96
35.04,35.15,35.23,35.01
34.99,35.08,35.08,34.79
35.15,35.46,35.48,35.04
35.73,35.68,35.76,35.51
35.28,35.27,35.42,35.13
35.44,35.60,35.65,35.17
35.57,35.80,35.84,35.50
35.57,35.22,35.58,35.05
35.14,35.61,35.65,35.08
34.92,34.70,34.92,34.34
34.66,33.98,34.70,33.72
33.82,33.22,33.98,33.21
33.82,33.71,33.96,33.60
33.43,33.53,33.78,33.32
33.32,33.46,33.48,33.02
33.47,32.91,33.48,32.66
32.96,32.34,33.13,32.34
32.88,32.96,33.03,32.82
33.24,33.60,33.60,33.09
33.28,33.09,33.43,33.03
32.60,31.80,32.64,31.80
31.62,31.52,31.73,30.83
31.40,31.24,31.75,31.17
31.90,32.17,32.45,31.59
32.01,31.97,32.11,31.63
31.81,32.24,32.31,31.59
31.69,32.16,32.16,31.52
32.19,32.67,32.73,31.97
32.79,32.71,32.86,32.57
32.60,33.01,33.01,32.57
32.42,32.71,32.78,32.33
32.93,32.76,32.94,32.69
32.65,32.39,32.71,32.22
32.41,32.49,32.69,32.28
31.91,32.36,32.37,31.78
32.30,32.58,32.65,32.08
32.67,32.82,32.87,32.51
33.07,33.06,33.25,32.90
33.31,33.53,33.64,33.25
33.49,33.36,33.53,33.18
33.58,34.11,34.55,33.52
34.14,34.02,34.14,33.88
33.74,33.92,34.06,33.64
33.97,34.14,34.21,33.88
34.05,34.25,34.25,33.89
34.49,34.41,34.50,34.26
34.17,34.20,34.22,33.92
34.32,34.60,34.65,34.22
34.77,34.80,34.94,34.69
34.68,34.59,34.71,34.37
34.23,34.23,34.56,34.05
33.78,34.30,34.33,33.73
34.31,34.58,34.58,34.17
33.99,33.96,34.09,33.85
34.29,34.00,34.38,33.94
34.23,34.21,34.41,34.06
34.40,34.56,34.58,34.36
34.65,34.59,34.77,34.42
34.49,34.62,34.71,34.36
34.98,35.13,35.14,34.90
35.15,35.08,35.25,35.04
34.77,35.12,35.12,34.72
34.87,34.76,34.95,34.68
34.46,34.79,34.83,34.36
34.90,35.30,35.35,34.90
35.36,35.44,35.53,35.35
35.48,35.40,35.49,35.14
35.68,35.85,35.90,35.55
35.63,35.88,35.90,35.58
35.55,35.04,35.68,34.90
34.70,34.97,35.00,34.55
35.28,35.24,35.30,35.12
35.05,34.97,35.12,34.79
34.38,34.63,34.69,34.20
34.52,34.86,34.89,34.41
34.93,34.93,35.06,34.87
34.40,33.55,34.67,33.48
33.80,33.52,33.88,33.22
33.93,34.10,34.17,33.86
34.12,33.66,34.13,33.59
33.75,33.84,33.99,33.64
32.98,32.50,33.00,32.40
31.77,31.94,32.25,31.72
31.67,30.43,31.88,26.98
30.87,30.36,31.07,29.80
32.37,32.33,32.60,32.03
31.61,31.91,32.33,31.53
32.21,32.22,32.40,32.09
32.04,31.83,32.24,31.79
31.45,30.95,31.50,30.66
31.06,30.87,31.17,30.24
31.21,30.20,31.28,30.08
30.17,30.41,30.49,29.86
29.47,29.03,29.83,29.01
29.04,29.97,30.10,28.97
29.61,29.30,29.84,29.29
28.41,29.24,29.24,28.31
29.31,28.77,29.49,28.67
29.83,30.38,30.38,29.63
30.23,29.78,30.30,29.68
29.57,29.44,30.25,29.44
29.63,30.34,30.34,29.47
30.49,30.18,30.51,29.98
29.52,28.95,29.64,28.82
29.11,28.52,29.22,28.51
28.64,28.98,29.03,28.45
29.18,28.90,29.48,28.75
29.78,30.12,30.15,29.66
29.79,30.19,30.20,29.75
30.60,30.36,30.79,30.33
30.88,31.32,31.36,30.77
30.99,31.24,31.33,30.89
31.33,31.28,31.36,30.99
31.23,31.24,31.40,31.15
31.76,31.27,31.79,31.15
31.35,30.87,31.45,30.79
31.14,31.05,31.27,30.70
30.83,30.51,30.90,30.44
30.54,30.69,30.78,30.27
30.59,30.46,30.85,30.40
29.93,29.36,29.93,29.29
29.42,29.24,29.74,29.21
29.57,29.58,29.66,29.14
29.77,29.52,29.89,29.34
30.44,30.10,30.62,29.96
30.31,31.07,31.14,30.29
31.21,31.43,31.43,31.00
31.14,31.45,31.45,31.08
31.18,31.36,31.38,31.11
31.74,31.91,31.95,31.65
31.82,31.95,32.03,31.67
32.05,32.16,32.21,31.66
31.79,31.12,31.79,31.08
31.44,31.35,31.47,31.05
30.89,31.53,31.59,30.84
31.55,30.97,31.60,30.89
31.75,32.04,32.14,31.73
31.96,32.39,32.40,31.89
32.21,32.64,32.64,32.16
32.86,32.74,32.86,32.49
32.66,32.53,32.73,32.46
32.98,32.68,33.14,32.42
32.30,32.65,32.80,32.29
33.34,33.72,33.76,33.27
33.55,33.66,33.75,33.39
33.62,33.63,33.75,33.42
33.56,33.66,33.67,33.38
33.47,33.76,33.78,33.36
33.87,33.85,33.92,33.73
33.25,33.61,33.72,33.06
32.51,32.04,32.51,32.00
31.80,32.02,32.10,31.77
32.02,31.89,32.19,31.89
31.91,32.13,32.29,31.84
32.53,32.51,32.69,32.34
32.57,32.53,32.73,32.38
32.52,32.10,32.61,31.82
31.70,31.71,31.75,31.50
31.88,31.66,32.04,31.62
31.21,31.17,31.38,30.96
30.90,31.18,31.28,30.76
31.40,31.17,31.57,31.09
31.58,31.81,31.87,31.14
31.59,31.39,31.74,31.36
31.33,31.48,31.67,31.23
32.28,32.59,32.69,32.18
32.54,32.76,32.77,32.48
32.99,33.07,33.19,32.84
32.85,32.65,32.85,32.58
32.81,32.88,33.08,32.81
33.36,33.17,33.40,33.00
33.18,33.26,33.30,33.13
33.74,33.87,33.87,33.68
33.72,34.08,34.20,33.63
33.82,34.12,34.12,33.71
33.85,33.93,33.97,33.74
33.92,33.68,33.97,33.60
33.91,34.32,34.37,33.82
34.35,34.32,34.59,34.02
34.46,34.29,34.62,34.18
33.87,33.91,34.23,33.82
34.58,34.85,34.92,34.54
34.86,34.69,34.87,34.65
34.73,34.90,34.96,34.38
34.86,34.83,34.99,34.70
35.03,34.52,35.10,34.37
34.92,34.91,34.97,34.61
34.64,34.45,34.74,34.28
35.05,35.40,35.50,34.96
35.59,35.66,35.71,35.48
35.96,35.60,35.96,35.40
35.67,35.82,35.88,35.53
35.89,35.77,35.91,35.66
35.51,35.70,35.77,35.23
36.00,36.10,36.28,35.93
36.35,36.34,36.46,36.14
36.45,36.28,36.48,35.98
36.18,36.50,36.50,36.06
35.68,35.51,35.87,35.33
35.75,36.20,36.30,35.69
36.25,36.01,36.44,35.77
36.15,36.09,36.20,35.98
36.46,36.23,36.58,36.21
35.84,35.97,36.00,35.73
35.63,35.62,35.74,35.30
35.99,35.91,36.01,35.73
35.87,35.92,35.98,35.75
35.94,35.77,36.09,35.55
36.32,36.35,36.44,36.23
36.44,36.64,36.65,36.04
37.35,37.47,37.50,37.25
37.29,37.31,37.45,37.13
37.06,37.12,37.17,36.87
37.33,36.72,37.41,36.56
36.85,36.84,36.93,36.34
36.47,36.55,36.56,36.30
36.42,36.21,36.60,36.03
36.46,36.27,36.50,36.22
35.94,35.36,35.95,35.20
35.50,35.57,35.73,35.45
36.32,36.45,36.49,36.29
36.18,36.47,36.48,36.00
36.01,36.08,36.21,35.66
35.31,34.97,35.38,34.91
35.28,35.53,35.54,35.28
34.88,34.99,35.12,34.88
34.75,34.62,34.75,34.23
34.01,34.16,34.41,34.00
34.89,35.18,35.26,34.84
35.16,35.92,35.92,35.13
35.91,36.21,36.25,35.87
35.93,36.02,36.12,35.84
36.52,36.09,36.59,36.06
36.13,36.21,36.32,35.91
36.32,36.25,36.32,36.04
36.24,36.37,36.40,36.10
36.66,36.76,36.95,36.58
36.78,36.84,37.05,36.74
36.51,36.35,36.69,36.21
36.34,36.50,36.55,36.20
36.35,36.32,36.35,36.10
36.50,36.40,36.50,36.23
36.72,36.66,36.74,36.64
35.83,35.89,35.89,35.75
35.80,35.84,35.89,35.75
35.65,35.80,35.80,35.56
35.98,35.79,35.98,35.72
36.06,36.11,36.23,35.99
36.06,35.97,36.10,35.80
35.98,36.15,36.35,35.93
36.42,36.44,36.54,36.34
36.62,36.33,36.62,36.15
35.82,36.13,36.19,35.79
36.24,35.81,36.26,35.71
35.86,35.69,35.95,35.47
35.44,35.59,35.65,35.27
35.83,35.83,35.90,35.66
36.28,36.59,36.63,36.21
36.89,36.74,36.98,36.69
36.65,36.94,36.96,36.60
37.09,37.18,37.24,37.04
37.33,36.99,37.35,36.88
36.65,36.67,36.77,36.32
36.96,36.87,37.05,36.74
36.83,37.20,37.23,36.81
37.00,37.18,37.18,36.83
37.34,37.36,37.46,37.19
37.41,37.45,37.55,37.29
37.26,36.58,37.35,36.56
36.91,36.93,37.08,36.84
37.42,37.83,37.89,37.37
37.77,37.81,37.90,37.69
37.75,37.82,37.84,37.35
37.70,37.78,37.79,37.44
37.76,37.90,37.92,37.70
37.94,38.10,38.15,37.79
37.94,38.02,38.08,37.81
37.50,37.75,37.77,37.36
37.43,37.77,37.83,37.40
37.70,37.81,37.88,37.63
37.81,37.71,37.85,37.63
37.89,38.18,38.22,37.84
38.15,38.36,38.42,38.10
38.34,38.49,38.50,38.25
37.68,37.38,37.93,37.32
37.51,37.38,37.64,37.17
37.45,37.41,37.58,37.12
37.70,37.90,37.92,37.66
38.33,38.28,38.40,38.08
38.39,37.72,38.41,37.68
37.79,37.90,38.09,37.74
38.21,38.43,38.43,38.06
38.30,38.06,38.34,37.79
38.24,37.65,38.29,37.58
37.60,37.78,37.91,37.40
37.77,37.74,37.88,37.63
37.11,36.83,37.11,36.77
36.54,36.88,36.94,36.51
36.02,36.21,36.24,35.82
34.34,35.41,35.63,34.12
35.18,34.34,35.31,33.98
35.55,35.45,35.69,35.27
35.91,36.01,36.09,35.83
36.61,36.91,36.97,36.57
36.91,36.81,36.91,36.61
36.56,36.80,36.93,36.42
37.01,37.31,37.34,36.89
37.05,36.85,37.19,36.85
36.93,36.86,37.11,36.84
36.80,37.08,37.10,36.65
37.33,37.49,37.57,37.26
37.31,37.31,37.46,37.19
37.42,37.69,37.79,37.24
37.78,37.68,37.82,37.58
37.41,37.58,37.71,37.36
37.76,37.91,37.96,37.76
37.81,37.74,37.94,37.51
38.14,38.03,38.23,37.95
38.18,37.95,38.26,37.90
37.81,37.60,37.84,37.51
38.04,37.73,38.05,37.63
37.59,37.89,37.97,37.56
37.79,37.84,37.91,37.60
37.08,37.07,37.13,36.65
37.27,37.34,37.39,37.14
38.15,38.33,38.35,38.15
38.59,38.56,38.63,38.44
38.63,38.54,38.65,38.40
38.66,38.84,38.90,38.57
38.97,39.32,39.36,38.74
39.30,39.59,39.61,39.30
39.61,39.62,39.79,39.57
39.83,39.63,39.94,39.59
39.42,39.31,39.63,39.14
39.39,38.97,39.39,38.85
38.60,38.23,38.67,38.07
38.75,38.26,38.89,38.03
38.26,38.51,38.55,38.10
38.64,38.88,38.89,38.56
38.69,38.14,38.70,37.97
38.00,38.26,38.41,37.76
38.17,37.64,38.20,37.44
37.57,37.59,37.99,37.48
37.40,37.67,37.69,37.21
37.64,37.92,38.03,37.56
38.03,38.15,38.17,37.79
37.86,37.57,37.91,37.45
36.74,36.70,36.86,36.56
36.98,36.90,37.13,36.80
36.77,37.18,37.28,36.77
37.37,37.54,37.62,37.12
37.76,37.80,37.93,37.68
38.44,38.55,38.56,38.20
38.39,37.66,38.41,37.63
37.84,37.89,37.94,37.45
37.49,37.89,38.10,37.48
37.77,37.39,37.81,37.37
37.86,37.69,38.00,37.69
37.43,37.22,37.54,37.17
37.35,37.64,37.70,37.26
37.27,36.70,37.30,36.61
36.83,36.80,37.01,36.59
