VIS,Vanguard Industrials ETF - DNQ,NASDAQ
52.22,52.54,52.58,52.14
52.43,52.77,52.83,52.42
52.61,52.90,52.98,52.61
52.69,53.55,53.59,52.69
53.52,54.26,54.32,53.52
54.49,54.77,54.81,54.32
54.31,54.22,54.41,53.91
54.23,54.55,54.64,53.93
54.45,54.50,54.60,54.25
54.32,53.87,54.51,53.67
53.91,54.35,54.45,53.82
53.84,53.65,53.84,53.14
53.68,52.52,53.80,52.36
52.44,51.55,52.74,51.54
52.14,51.76,52.21,51.59
51.58,51.68,52.13,51.38
51.50,51.71,51.78,50.96
51.95,51.00,51.95,50.64
51.19,50.47,51.67,50.40
50.61,51.15,51.20,50.61
51.36,52.11,52.25,51.36
51.88,51.90,52.30,51.83
51.51,50.24,51.52,50.24
50.23,50.01,50.37,48.92
49.90,49.52,50.17,49.52
50.28,50.31,50.75,49.87
50.23,50.28,50.53,48.95
50.30,51.10,51.10,50.01
50.47,50.83,50.86,50.13
51.46,51.91,51.96,51.24
52.27,52.32,52.37,52.06
52.33,52.83,52.91,52.33
52.71,53.05,53.26,52.65
53.22,53.06,53.30,53.01
53.07,52.38,53.23,52.26
52.55,52.80,52.92,52.40
52.03,52.72,52.80,51.71
52.74,52.96,53.03,52.59
53.21,53.58,53.69,53.21
53.82,53.73,53.96,53.67
53.92,53.93,54.37,53.88
54.07,54.11,54.21,53.84
54.49,54.96,54.98,54.49
54.81,54.78,55.13,54.74
54.57,55.24,55.41,54.57
55.23,55.44,55.57,55.16
55.27,55.54,55.56,54.97
55.85,55.84,55.94,55.29
55.69,55.93,56.00,55.45
56.01,56.55,56.55,55.95
56.72,56.73,57.01,56.62
56.76,56.96,57.01,56.64
56.61,56.61,57.24,56.47
56.36,56.89,57.00,56.24
57.09,57.62,57.62,57.00
57.47,57.21,57.68,57.17
57.71,57.01,57.94,57.01
57.29,57.25,57.60,56.98
57.51,57.71,57.82,57.48
57.69,57.85,58.14,57.63
57.95,57.55,57.95,57.40
58.39,57.97,58.39,57.49
58.27,58.50,58.55,57.97
58.58,58.52,58.86,58.20
58.50,58.19,58.51,57.89
58.01,58.39,58.52,57.75
58.54,58.72,58.72,58.33
58.98,58.92,59.10,58.51
58.90,59.11,59.16,58.66
59.35,59.89,59.91,59.29
60.00,60.35,60.52,59.95
60.29,59.40,60.29,58.91
59.27,59.31,59.47,58.67
59.94,59.83,60.00,59.57
