VOT,Vanguard Mid-Cap Growth ETF - DNQ,NASDAQ
49.07,49.42,49.44,48.53
49.44,49.70,49.73,49.30
49.61,50.06,50.11,49.61
49.99,50.16,50.18,49.71
50.00,50.45,50.45,49.85
50.73,50.39,50.78,50.15
50.10,49.63,50.10,49.34
49.84,50.19,50.23,49.33
50.09,50.14,50.31,49.92
50.14,49.42,50.14,49.21
49.55,49.87,49.88,49.39
49.49,49.42,49.49,48.95
49.50,48.65,49.65,48.59
48.67,47.58,48.67,47.50
47.93,47.75,48.05,47.54
47.60,47.52,47.92,47.27
47.32,47.55,47.61,46.93
47.64,46.91,47.75,46.60
47.13,46.26,47.46,46.00
46.27,47.04,47.05,46.27
47.06,47.80,47.85,46.99
47.57,47.54,47.84,47.42
47.11,45.74,47.11,45.74
45.78,45.76,45.78,44.67
45.77,45.63,46.20,45.40
46.25,46.37,46.65,45.88
46.23,46.17,46.43,45.70
46.08,46.94,46.96,45.88
46.41,47.08,47.08,46.25
47.55,47.98,48.00,47.42
48.23,48.29,48.33,47.98
48.31,48.57,48.61,48.20
48.46,48.76,48.91,48.39
48.94,48.71,49.00,48.61
48.62,47.86,48.62,47.81
48.12,48.37,48.47,48.08
47.71,48.52,48.55,47.50
48.55,48.68,48.70,48.28
48.85,49.67,49.69,48.85
49.87,49.97,50.16,49.83
50.07,50.08,50.42,49.99
50.13,50.11,50.28,49.89
50.42,50.87,50.90,50.37
50.94,50.83,51.00,50.78
50.68,50.90,51.17,50.63
50.94,51.37,51.39,50.94
51.16,51.50,51.50,51.00
51.69,51.59,51.70,51.34
51.49,51.29,51.49,50.90
51.49,51.86,51.86,51.29
51.98,52.13,52.35,51.95
52.19,51.89,52.23,51.77
51.35,51.35,52.08,51.25
50.96,51.97,52.04,50.96
52.11,52.50,52.50,51.93
52.31,52.17,52.37,52.06
52.50,51.76,52.57,51.72
51.87,51.77,52.14,51.45
52.00,52.30,52.32,52.00
52.38,52.37,52.52,52.00
52.18,52.12,52.49,52.10
52.48,52.65,52.86,52.29
52.96,53.48,53.48,52.84
53.24,53.53,53.65,53.20
53.50,53.12,53.50,52.86
52.98,53.18,53.23,52.54
53.32,53.67,53.67,53.17
53.76,53.77,53.92,53.67
53.70,53.87,53.92,53.49
54.17,54.66,54.66,54.16
54.59,54.64,54.87,54.53
54.48,53.86,54.60,53.44
53.59,53.51,53.80,52.93
53.83,54.23,54.27,53.72
54.30,54.24,54.37,53.85
53.77,54.88,54.94,53.45
54.95,55.46,55.49,54.79
55.54,55.43,55.76,55.36
55.21,53.92,55.38,53.78
54.18,54.09,54.36,53.68
54.50,54.93,54.95,54.45
54.96,53.79,55.05,53.79
54.03,54.68,54.76,54.03
54.01,53.07,54.01,52.75
52.58,52.51,53.18,51.86
52.21,50.85,52.70,48.26
50.75,49.43,50.88,48.60
51.87,52.03,56.84,51.36
51.45,51.89,52.53,51.27
52.15,53.15,53.15,52.14
53.06,52.57,53.57,52.47
52.24,51.26,52.24,50.79
51.50,51.28,51.77,50.12
51.90,50.49,52.13,50.37
50.09,50.13,50.78,49.26
48.89,48.07,49.10,47.90
47.20,48.98,49.20,46.95
48.69,48.49,49.27,48.49
47.13,48.58,48.62,46.70
48.86,48.80,49.90,48.63
49.80,50.70,50.70,49.73
50.73,50.02,50.73,49.73
49.38,48.67,50.17,48.67
49.03,50.21,50.21,48.85
50.48,50.84,50.84,50.17
49.48,48.64,50.19,48.47
48.99,47.46,48.99,47.41
47.68,47.77,47.94,46.88
48.08,47.95,49.09,47.72
48.94,49.69,49.69,48.87
49.17,50.16,50.18,49.17
50.76,50.31,51.14,50.25
50.74,51.58,51.60,50.74
51.27,51.50,51.83,51.16
51.79,51.38,51.79,50.95
51.51,51.39,51.64,51.26
52.19,51.07,52.20,50.82
51.20,49.91,51.41,49.90
49.99,49.92,50.29,49.28
49.69,48.98,49.80,48.95
49.19,49.54,49.68,48.81
49.64,49.20,49.67,49.04
48.36,47.25,48.36,46.99
47.25,46.91,47.94,46.81
46.91,46.84,47.02,45.68
47.16,46.46,47.16,46.19
47.31,46.46,47.60,46.10
46.55,48.04,48.10,46.44
48.80,48.52,48.80,47.97
48.57,48.93,48.97,48.45
48.79,48.68,49.18,48.34
49.44,49.73,49.89,49.28
49.65,49.76,50.00,49.41
49.70,49.72,49.92,49.06
49.41,48.17,49.42,48.14
48.41,48.42,48.56,47.85
47.75,49.27,49.34,47.58
49.62,48.64,49.63,48.45
49.25,49.89,50.05,49.25
49.62,50.63,50.63,49.60
50.64,51.36,51.36,50.50
51.87,50.72,51.87,50.53
50.57,50.19,50.82,49.95
50.76,50.02,50.76,49.46
49.31,50.29,50.37,49.31
51.10,51.36,51.44,50.86
51.23,51.04,51.31,50.73
51.49,51.71,51.78,51.20
51.38,51.59,51.67,51.24
50.98,51.41,51.57,50.77
51.73,51.85,51.90,51.47
51.25,51.20,51.45,50.85
50.33,49.54,50.33,49.44
48.42,49.39,49.57,48.33
49.20,49.18,49.50,49.18
48.75,49.20,49.41,48.75
