VV,Vanguard Large-Cap ETF - DNQ,NASDAQ
51.12,51.48,51.52,51.07
51.51,51.67,51.69,51.36
51.63,51.74,51.83,51.58
51.67,51.94,51.97,51.47
51.72,52.08,52.11,51.68
52.35,52.16,52.38,51.96
51.85,51.70,51.92,51.46
51.77,52.10,52.23,51.55
52.02,52.21,52.33,52.02
52.13,51.67,52.18,51.47
51.66,52.30,52.33,51.66
51.97,51.80,51.97,51.36
51.81,50.84,51.96,50.78
50.66,49.70,50.77,49.68
50.21,50.00,50.24,49.83
49.79,49.71,50.28,49.66
49.68,49.98,50.05,49.38
50.15,49.41,50.16,49.10
49.62,48.92,49.93,48.80
49.23,49.61,49.63,49.17
49.67,50.25,50.31,49.56
50.02,49.96,50.24,49.85
49.55,48.41,49.57,48.41
48.46,48.54,48.59,47.53
48.54,48.17,48.78,48.16
48.75,48.78,49.13,48.33
48.74,48.65,48.92,48.28
48.60,49.16,49.22,48.34
48.71,49.17,49.17,48.49
49.53,50.00,50.02,49.41
50.19,50.21,50.27,50.00
50.18,50.54,50.60,50.14
50.36,50.64,50.81,50.30
50.78,50.60,50.83,50.52
50.50,49.95,50.61,49.88
50.14,50.49,50.49,50.03
49.73,50.39,50.39,49.62
50.43,50.44,50.56,50.12
50.65,50.96,51.00,50.63
51.20,51.09,51.34,51.04
51.22,51.14,51.47,51.04
51.24,51.28,51.37,51.03
51.61,51.99,52.06,51.49
52.03,52.02,52.16,51.95
51.90,52.13,52.36,51.89
52.17,52.38,52.51,52.15
52.26,52.58,52.60,52.10
52.83,52.62,52.85,52.47
52.51,52.58,52.63,52.21
52.77,53.04,53.07,52.60
53.19,53.35,53.54,53.19
53.34,53.30,53.44,53.11
52.98,52.98,53.46,52.82
52.68,53.28,53.39,52.65
53.40,53.71,53.73,53.22
53.45,53.42,53.65,53.33
53.59,53.08,53.77,53.04
53.22,53.12,53.43,52.87
53.35,53.43,53.48,53.25
53.49,53.46,53.65,53.25
53.28,53.30,53.53,53.12
53.68,53.69,53.85,53.38
53.89,54.12,54.16,53.74
53.98,54.26,54.35,53.93
54.17,53.95,54.28,53.72
53.78,54.13,54.20,53.60
54.25,54.46,54.49,54.15
54.52,54.59,54.70,54.49
54.53,54.61,54.70,54.24
54.78,55.22,55.24,54.78
55.17,55.28,55.38,55.11
55.09,54.41,55.16,54.13
54.25,54.58,54.61,54.00
54.93,55.05,55.12,54.75
55.14,54.99,55.23,54.70
54.62,55.16,55.22,54.29
55.09,55.54,55.56,55.04
55.62,55.29,55.67,55.26
55.01,54.05,55.29,53.95
54.31,54.36,54.54,53.91
54.77,55.10,55.21,54.76
55.13,54.17,55.13,54.15
54.44,54.84,55.00,54.35
54.27,53.56,54.28,53.27
53.06,53.15,53.65,52.80
52.95,51.43,53.22,48.22
51.25,50.55,51.74,49.88
52.72,52.87,53.06,52.28
52.36,52.68,53.37,52.25
52.95,53.49,53.55,52.85
53.38,52.84,53.59,52.81
52.41,51.87,52.46,51.44
51.96,51.87,52.10,50.89
52.33,51.18,52.45,51.00
50.85,50.85,51.30,50.21
49.75,48.89,49.93,48.89
48.17,49.63,49.76,48.02
49.37,48.99,49.75,48.96
47.75,49.06,49.06,47.45
49.38,48.79,49.80,48.67
49.71,50.43,50.44,49.57
50.42,49.81,50.42,49.62
49.39,48.95,50.07,48.91
49.19,50.23,50.24,48.97
50.40,50.45,50.56,49.96
49.52,48.76,49.80,48.51
48.86,48.04,49.02,47.98
48.09,48.48,48.57,47.62
48.80,48.25,49.28,48.10
49.07,49.69,49.73,49.01
49.27,49.96,49.98,49.22
50.36,49.90,50.64,49.86
50.28,51.04,51.07,50.21
50.82,50.98,51.22,50.70
51.18,51.08,51.19,50.63
51.21,51.15,51.31,50.98
51.81,50.96,51.81,50.71
51.01,50.13,51.19,50.09
50.19,49.93,50.29,49.66
49.50,48.88,49.52,48.78
49.07,49.13,49.34,48.65
49.20,48.92,49.30,48.81
48.30,47.38,48.30,47.11
47.30,46.89,47.73,46.83
46.89,46.75,47.05,45.99
46.88,46.54,47.01,46.25
47.13,46.75,47.48,46.36
46.89,48.23,48.29,46.83
48.66,48.73,48.96,48.19
48.74,49.08,49.11,48.65
48.91,49.11,49.24,48.76
49.63,49.90,50.07,49.57
49.75,49.87,50.07,49.54
49.84,49.92,50.05,49.23
49.64,48.52,49.64,48.41
48.71,48.81,48.94,48.31
48.12,49.36,49.38,48.12
49.64,48.75,49.69,48.55
49.28,49.83,50.01,49.28
49.72,50.24,50.30,49.59
50.31,50.83,50.84,50.19
51.10,50.75,51.12,50.58
50.68,50.41,50.80,50.25
50.75,50.18,50.83,49.74
49.67,50.21,50.43,49.59
50.99,51.31,51.38,50.78
51.20,51.06,51.30,50.87
51.21,51.41,51.47,51.04
51.11,51.34,51.38,51.03
50.82,51.15,51.21,50.49
51.43,51.45,51.52,51.19
51.03,51.14,51.39,50.70
50.32,49.73,50.32,49.65
48.96,49.42,49.59,48.87
49.28,49.27,49.54,49.24
48.96,49.27,49.41,48.76
49.71,49.89,50.22,49.55
49.86,49.98,50.21,49.59
49.73,49.14,49.78,48.91
48.95,48.94,49.02,48.60
49.16,48.75,49.41,48.75
48.21,48.04,48.40,47.75
47.72,48.21,48.36,47.45
48.46,47.86,48.50,47.75
48.16,48.66,48.68,47.46
48.53,47.92,48.67,47.92
47.76,47.93,48.23,47.57
48.58,49.37,49.43,48.56
49.45,49.83,49.85,49.40
50.36,50.51,50.57,50.10
50.26,49.94,50.32,49.89
49.99,50.25,50.45,49.99
50.84,50.50,50.84,50.37
50.60,50.75,50.80,50.50
51.22,51.31,51.40,51.05
51.19,51.31,51.57,51.04
51.14,51.51,51.56,51.01
51.33,51.49,51.50,51.19
51.78,51.51,51.79,51.39
51.72,52.31,52.41,51.64
52.32,52.19,52.57,52.00
52.09,51.97,52.41,51.79
51.52,51.54,52.04,51.43
51.85,52.30,52.34,51.85
52.35,52.09,52.39,52.05
52.17,52.35,52.43,51.62
52.15,52.20,52.40,52.02
52.51,52.08,52.81,51.84
52.48,52.29,52.52,52.00
52.23,51.88,52.37,51.68
52.38,52.91,53.03,52.31
