WCG,Wellcare Health Plans,NASDAQ
35.24,37.15,37.48,35.00
37.01,37.10,37.82,36.75
36.88,36.67,37.15,36.22
36.67,37.18,37.81,36.41
36.34,36.40,36.94,36.15
36.41,35.61,36.52,35.61
35.19,34.93,35.49,34.44
35.06,35.73,35.81,34.41
35.46,35.98,36.23,35.14
36.09,36.02,36.51,35.31
36.18,36.45,37.23,36.10
37.68,35.75,37.68,35.55
35.86,34.11,36.26,34.10
34.01,33.18,34.43,33.10
33.81,33.18,33.81,33.04
33.08,32.54,33.18,32.43
32.29,32.74,33.02,32.02
32.70,31.99,32.94,31.50
32.16,31.18,32.16,30.97
31.37,31.70,31.86,30.41
31.74,32.12,32.35,31.50
31.93,32.00,32.33,31.74
31.66,30.83,31.84,30.79
30.77,30.74,30.79,29.55
30.52,30.62,31.25,30.29
31.21,31.63,31.70,30.45
31.59,31.37,31.83,30.60
31.12,31.85,31.89,30.82
31.32,31.81,31.88,31.05
31.91,31.72,31.94,31.12
31.85,32.12,32.76,31.80
27.92,27.91,29.38,27.36
27.77,26.25,27.91,25.72
26.72,26.01,26.73,25.80
25.83,26.77,27.05,25.68
26.76,27.06,27.10,26.48
26.55,26.86,26.87,26.26
26.78,26.70,27.28,26.54
26.70,27.22,27.49,26.67
27.37,27.89,27.97,27.14
28.58,29.16,29.76,28.49
29.27,28.83,29.27,28.52
29.09,29.53,29.56,28.87
29.40,29.68,29.69,29.24
29.56,29.20,30.23,29.04
29.29,29.30,29.34,28.66
29.01,29.52,29.68,28.52
29.60,29.14,29.80,28.85
29.04,29.89,29.96,28.65
30.06,30.16,30.26,29.56
30.31,30.25,30.47,29.77
30.14,30.29,30.99,30.00
30.72,30.72,31.07,30.42
30.81,31.21,31.99,30.78
31.30,31.23,31.46,30.54
31.15,30.53,31.36,30.53
30.87,29.78,31.02,29.63
29.76,29.55,30.17,29.32
29.74,30.05,30.16,29.55
29.99,30.20,30.45,29.88
29.97,29.80,30.17,29.67
30.03,29.91,30.49,29.55
29.94,30.10,30.32,29.74
30.17,31.14,31.22,29.93
30.97,30.41,31.11,30.17
30.25,29.67,30.25,29.50
29.74,29.08,29.74,28.91
29.01,28.64,29.14,28.32
28.55,28.01,28.60,27.97
28.06,28.26,28.32,27.53
28.29,29.01,29.14,28.04
29.00,29.41,29.53,28.67
29.48,31.09,31.48,29.48
31.26,31.70,32.00,31.14
31.62,31.25,32.16,30.91
30.87,30.95,31.19,30.23
30.97,30.53,31.00,30.34
30.50,28.99,30.71,28.85
28.82,28.01,29.23,27.96
28.19,29.03,29.09,28.00
29.29,29.88,30.21,29.10
30.00,28.63,30.00,28.59
28.67,29.26,29.40,28.54
28.83,28.20,28.87,27.95
28.49,29.11,29.44,27.79
29.07,27.76,29.39,25.26
27.50,26.72,27.83,26.58
27.83,27.20,28.38,26.92
26.94,27.57,28.18,26.80
27.65,28.73,28.77,27.50
28.60,28.50,29.13,28.33
28.33,27.91,28.49,27.10
28.04,27.47,28.28,26.75
27.68,27.30,28.18,27.23
27.09,26.81,27.29,26.62
25.95,25.85,26.64,25.79
25.30,26.28,26.79,25.29
26.17,26.09,26.73,25.71
25.53,25.91,25.97,25.09
26.00,26.51,27.20,25.84
26.94,27.55,27.55,26.56
27.41,27.26,27.53,26.95
27.15,26.36,27.56,26.36
26.44,28.31,28.36,26.44
28.09,29.30,29.32,28.09
28.56,27.89,29.62,27.81
27.94,27.58,28.52,27.15
27.68,27.28,28.12,26.79
27.50,27.10,27.76,26.87
27.47,27.70,27.74,27.13
27.50,28.06,28.11,27.28
28.29,28.20,28.71,28.08
28.43,28.77,28.88,28.24
28.65,28.64,28.86,28.40
28.75,28.85,28.98,28.45
28.97,28.78,28.97,28.46
29.05,28.56,29.46,28.40
28.62,27.53,28.98,27.49
27.42,27.13,27.42,26.70
27.04,26.63,27.23,26.46
26.78,27.05,27.95,26.42
26.88,26.40,27.01,26.36
25.94,24.32,25.98,24.08
24.14,23.74,24.15,22.55
23.66,23.70,23.92,22.90
23.79,23.20,23.94,23.07
23.55,22.92,23.89,22.73
23.02,23.15,23.20,22.25
23.45,24.15,24.26,23.28
24.04,24.24,24.29,23.74
24.18,23.61,24.19,23.33
23.96,24.57,24.72,23.71
24.41,24.98,25.04,24.33
25.10,25.26,25.50,24.82
25.18,24.31,25.44,24.17
24.37,24.33,24.62,24.19
24.15,23.90,24.26,23.65
24.00,22.93,24.03,22.71
23.30,23.49,23.77,23.13
23.34,23.95,24.07,23.22
24.03,25.03,25.08,24.03
25.27,25.06,25.42,24.68
24.96,24.54,25.07,24.39
24.84,24.49,25.07,24.26
24.10,25.79,25.88,23.84
26.10,26.75,26.78,26.10
26.71,26.99,27.27,26.43
27.12,27.47,27.85,26.91
27.21,27.25,27.67,26.99
26.99,27.55,27.77,26.75
28.45,28.58,29.99,28.04
28.50,28.22,28.89,27.89
27.60,26.94,27.60,26.56
26.39,26.80,27.05,26.34
26.60,26.33,26.62,26.05
26.07,26.50,26.74,25.70
26.82,26.65,26.96,26.29
26.58,26.32,26.72,26.16
26.15,25.03,26.24,24.96
24.86,25.15,25.17,24.30
25.36,25.12,25.74,24.76
24.69,24.66,25.12,24.38
24.49,25.32,25.42,24.43
25.40,24.78,25.48,24.73
25.09,26.01,26.04,24.39
25.82,24.97,25.85,24.95
24.89,24.81,25.24,24.40
25.25,25.67,25.70,24.91
25.69,26.54,26.61,25.38
26.89,26.86,27.05,26.56
26.76,26.25,26.76,25.95
26.25,25.83,26.28,25.66
26.28,26.32,26.57,26.09
26.23,26.42,26.50,25.84
26.74,27.48,27.53,26.52
27.44,27.66,27.79,27.12
27.65,27.36,27.87,27.00
27.29,26.86,27.40,26.70
27.16,27.10,27.54,26.45
27.21,27.66,27.66,26.90
27.66,28.30,28.55,27.46
28.16,28.26,28.39,27.90
27.98,28.43,28.79,27.85
28.80,29.24,29.26,28.59
29.14,28.96,29.31,28.93
28.97,29.51,29.73,28.76
29.32,29.13,29.70,28.99
29.37,28.96,29.73,28.96
28.96,29.50,29.52,28.85
29.40,28.74,29.61,28.43
29.16,29.10,29.32,28.78
28.97,28.39,29.25,28.11
28.50,28.03,28.54,27.87
28.10,28.20,28.36,27.90
28.26,28.78,29.06,28.14
28.77,28.50,28.89,28.28
28.67,28.79,29.12,28.65
28.74,28.48,29.00,28.31
28.70,28.05,28.92,27.99
28.10,28.81,28.82,27.96
28.36,28.06,28.62,27.81
28.23,28.75,29.04,28.14
28.96,28.58,29.23,28.36
28.70,28.55,28.70,28.09
28.76,29.00,29.33,28.58
28.81,27.97,28.84,27.92
27.79,27.47,28.06,27.33
27.70,27.50,27.74,27.39
27.36,27.78,27.98,27.35
27.89,28.27,28.94,27.82
28.55,28.86,29.08,28.42
28.91,28.49,29.18,28.12
29.07,29.07,29.55,28.80
28.99,29.09,29.49,28.97
29.10,28.99,29.38,28.79
28.96,28.58,29.05,28.40
28.62,29.38,29.40,28.26
29.11,29.78,30.10,28.94
29.46,29.23,29.88,29.17
29.35,29.14,29.54,29.03
28.84,28.19,28.85,27.93
28.20,28.03,28.20,27.83
28.33,28.17,28.59,27.86
28.08,28.07,28.15,27.85
28.00,28.19,28.63,27.90
27.92,27.95,28.13,27.74
28.19,28.35,28.47,27.92
28.15,28.18,28.35,27.99
27.94,28.35,28.54,27.55
28.08,28.15,28.45,27.75
28.56,29.01,29.08,28.47
29.07,29.21,29.35,28.82
29.12,29.26,29.31,28.90
29.20,29.14,29.24,28.90
29.39,29.05,29.54,28.96
29.12,28.88,29.23,28.83
29.05,28.57,29.05,28.53
28.61,28.73,28.98,28.54
28.83,28.25,28.86,28.22
28.37,28.16,28.56,28.10
28.10,28.48,28.69,28.02
28.56,28.33,28.81,28.13
28.15,27.76,28.29,27.75
27.83,27.97,28.05,27.64
28.12,28.18,28.26,27.59
28.25,28.96,28.96,28.14
28.96,29.06,29.16,28.82
28.95,29.23,29.30,28.88
29.22,29.17,29.37,28.98
29.17,29.33,29.59,29.17
29.35,29.58,29.82,29.30
29.58,30.22,30.46,29.54
30.40,30.10,30.63,29.88
30.14,30.03,30.21,29.47
29.94,30.61,30.64,29.75
30.68,31.39,31.42,29.92
31.47,31.30,31.83,30.72
31.17,32.00,32.19,30.62
32.07,31.60,32.50,31.37
31.87,31.01,31.94,31.00
31.00,31.27,31.60,30.82
30.85,31.45,31.66,30.20
31.59,32.73,32.75,31.18
32.55,32.24,32.69,32.11
31.98,31.08,32.55,30.87
31.31,30.45,31.33,30.38
30.46,30.45,30.80,30.26
30.40,30.63,30.65,30.10
30.73,30.75,30.89,30.20
30.77,31.24,31.47,30.26
31.17,30.06,31.20,29.91
30.13,29.90,30.26,29.81
30.14,31.19,31.26,29.96
31.04,30.72,31.20,30.67
30.65,31.46,31.86,30.53
31.51,31.51,32.35,30.95
31.49,31.17,31.90,31.03
31.07,32.14,32.16,30.86
32.00,31.77,32.13,31.57
31.69,31.70,32.12,31.60
31.57,34.16,34.46,31.31
34.35,35.01,35.22,33.91
34.96,34.66,35.19,34.50
34.67,35.99,36.51,34.67
35.80,36.95,37.28,35.44
37.36,38.45,39.16,37.10
37.91,38.77,39.43,37.90
38.73,37.39,38.77,37.15
37.48,37.35,38.15,36.84
37.49,37.87,37.91,37.35
37.98,37.55,38.27,37.37
37.69,37.21,38.04,36.98
37.21,37.57,38.06,37.21
37.87,37.97,38.75,37.77
38.12,37.83,38.24,37.11
38.01,37.21,38.31,36.81
37.38,38.14,38.28,36.86
38.02,38.44,38.70,37.96
37.98,37.32,37.98,37.05
37.22,37.39,37.69,36.78
37.05,36.97,37.35,36.43
36.01,37.00,37.36,35.67
36.86,36.56,37.44,36.26
37.10,36.74,37.39,36.62
37.00,37.31,37.87,36.98
37.73,38.04,38.46,37.73
39.49,39.27,39.83,39.14
39.07,39.09,39.17,38.30
39.18,39.77,39.80,38.94
39.95,40.93,41.04,39.55
41.02,40.39,41.46,40.29
40.47,40.53,40.89,40.19
40.64,41.44,41.51,40.61
41.54,41.95,41.99,41.40
42.00,43.22,43.80,41.93
43.38,43.09,43.73,42.75
43.07,42.96,43.38,42.66
43.35,42.72,43.42,42.23
42.82,43.62,44.55,42.71
43.90,42.97,43.95,42.50
43.09,42.20,43.23,42.09
42.00,41.79,42.40,41.66
42.12,42.20,42.51,41.68
41.92,41.61,41.95,41.28
41.58,41.89,42.17,41.34
41.68,40.19,41.68,40.11
40.43,40.25,40.74,39.42
41.01,41.37,41.47,40.93
39.91,41.93,42.59,39.91
41.96,42.12,42.71,41.84
42.36,42.32,43.38,42.25
42.50,42.83,42.87,42.20
42.87,43.70,43.84,42.87
43.98,43.81,44.14,43.64
44.08,43.70,44.73,43.68
43.70,43.73,44.10,43.21
43.70,42.26,43.70,42.22
42.15,42.44,43.56,41.81
46.13,47.33,47.92,44.77
46.94,48.29,48.69,46.73
48.49,49.70,50.11,48.49
49.58,49.50,49.87,48.16
49.13,50.15,50.32,48.26
50.18,50.18,50.67,49.36
49.92,50.80,51.66,49.54
50.52,49.62,50.62,49.32
49.73,50.66,51.06,49.45
50.88,50.15,51.32,49.95
49.89,49.44,50.24,49.25
48.50,48.88,49.14,48.18
49.10,47.94,49.26,47.75
47.94,48.26,48.45,47.56
48.06,49.41,49.45,47.66
49.49,49.50,50.26,49.12
50.03,49.25,50.17,48.95
49.04,49.81,50.77,49.04
49.77,50.20,50.54,49.49
49.54,49.67,50.70,49.10
49.64,47.88,49.64,47.76
48.30,48.01,48.76,47.67
47.93,48.34,48.51,47.75
48.45,49.64,50.03,48.35
49.50,48.50,49.80,48.29
48.57,48.46,49.29,48.12
49.21,50.75,51.10,48.78
50.18,48.75,50.71,48.48
48.88,48.62,49.87,47.86
49.09,47.98,49.58,47.85
47.87,49.33,49.56,47.80
49.84,50.50,50.69,49.53
50.38,50.03,51.22,49.90
49.22,49.90,50.03,47.79
50.04,49.08,50.16,48.65
49.23,50.10,50.32,48.22
50.11,51.56,51.78,49.93
51.86,51.91,52.51,51.27
52.18,51.41,52.78,51.41
51.56,53.48,53.64,51.40
53.59,54.03,54.61,53.02
54.00,53.39,54.15,52.45
53.85,54.96,55.75,51.94
54.18,54.72,54.82,53.40
53.92,52.02,54.11,51.85
51.80,51.94,52.95,51.56
52.42,53.45,54.15,52.17
53.72,52.68,54.27,52.50
53.05,52.73,53.48,52.20
52.43,51.65,52.71,50.65
51.97,52.55,52.72,51.62
52.70,53.07,53.20,51.58
53.37,54.50,55.65,53.20
54.48,55.31,55.40,54.07
54.61,52.45,55.20,52.30
52.45,51.08,52.96,50.83
50.76,47.87,51.30,47.68
47.89,47.89,49.56,47.09
43.87,43.85,44.76,38.51
44.48,42.10,45.47,40.43
41.69,40.50,43.10,40.38
43.56,42.48,43.56,39.28
41.62,38.88,41.70,38.84
39.67,38.65,40.29,37.40
37.26,35.28,38.85,35.27
36.38,40.22,40.51,35.89
38.91,39.55,41.17,37.88
39.86,41.98,42.70,39.86
42.45,42.67,43.31,41.84
43.37,43.93,44.29,42.96
43.25,43.23,43.78,42.63
43.56,43.42,44.05,42.68
41.78,41.32,41.78,40.19
40.19,40.49,42.19,39.89
41.32,40.08,41.88,39.58
40.33,43.03,43.05,39.62
42.93,43.52,43.91,42.20
43.87,42.01,44.39,41.86
41.56,43.98,44.03,40.54
44.62,46.03,46.07,44.28
46.03,46.55,46.91,44.98
46.72,45.83,47.69,45.35
46.23,44.67,47.61,44.50
43.43,43.43,45.11,43.25
41.63,43.95,44.08,41.30
44.93,45.91,46.42,44.67
45.44,44.16,46.02,43.96
43.68,42.41,44.31,42.08
41.12,42.48,42.55,40.95
42.87,42.91,43.50,41.83
43.36,43.80,44.75,41.57
44.26,44.31,44.34,42.50
43.86,45.23,45.24,42.50
44.19,44.60,45.00,43.68
44.88,43.31,45.45,43.29
43.34,40.86,43.67,40.79
39.18,38.47,40.80,37.95
38.30,40.27,40.36,37.93
40.98,40.28,40.98,38.95
41.28,42.16,43.13,40.63
42.23,39.27,42.43,39.26
40.34,38.89,40.35,37.52
38.21,37.98,39.62,37.90
37.63,35.46,38.11,35.13
35.02,35.45,35.60,33.29
35.65,37.61,38.18,35.19
37.57,38.99,39.03,37.43
39.15,38.39,39.25,37.90
39.39,40.26,40.55,39.10
39.77,40.23,40.52,39.50
40.84,40.45,41.67,40.25
40.24,40.15,40.41,39.38
40.93,41.75,41.88,40.58
41.71,39.64,41.71,39.46
39.52,41.23,41.50,38.39
41.06,40.20,42.05,40.03
40.39,40.53,40.81,39.34
41.29,42.09,42.32,41.13
44.36,45.79,45.99,44.20
45.16,46.84,47.50,44.75
47.61,48.28,48.75,46.41
50.08,49.70,50.30,48.90
49.54,49.39,50.48,49.34
49.42,49.01,49.99,48.99
47.06,47.63,48.40,46.38
50.13,52.94,53.68,49.50
53.35,53.79,54.10,51.91
53.31,54.89,55.20,53.15
54.55,55.45,55.64,53.38
55.86,54.90,56.24,53.35
53.26,53.36,54.25,53.13
54.20,53.85,54.21,52.82
54.59,54.99,55.41,54.49
54.89,55.60,55.90,54.58
55.50,55.92,56.30,54.19
55.09,53.86,55.43,53.70
53.89,53.56,55.28,53.12
53.60,54.31,54.42,52.95
53.16,54.10,54.43,53.16
53.89,55.06,55.60,53.68
54.58,53.37,54.58,53.28
53.11,52.61,54.15,52.61
54.71,56.55,56.82,54.31
56.49,56.70,57.28,56.18
58.98,58.45,58.98,57.03
58.19,57.65,59.05,57.59
58.44,57.84,58.66,57.22
58.73,57.46,58.83,57.10
57.61,56.91,57.61,56.32
56.42,56.06,56.47,55.50
55.93,54.96,56.45,54.85
55.16,56.18,56.59,54.66
55.24,55.10,55.75,54.50
55.58,53.19,56.14,52.88
52.70,51.24,53.00,51.13
51.93,51.60,52.14,50.57
51.78,51.61,52.89,51.32
52.01,51.74,53.40,51.57
52.81,54.22,54.36,51.88
53.60,53.86,54.21,53.00
54.27,54.50,55.04,54.03
54.56,54.75,55.07,54.36
54.31,54.67,55.31,54.31
54.38,52.77,54.94,52.71
52.88,53.14,53.38,52.68
52.96,52.50,53.27,52.38
53.94,52.61,54.15,52.32
52.50,52.38,52.69,51.83
52.29,53.32,53.70,51.74
53.34,55.45,55.47,52.96
55.45,57.00,57.06,55.16
57.73,57.99,58.02,56.97
57.68,57.85,58.90,56.98
56.33,57.17,58.00,56.33
56.76,57.36,57.49,56.43
58.27,58.42,58.70,57.76
58.26,58.57,59.07,57.94
58.33,58.50,58.96,57.83
59.42,58.70,59.89,58.34
58.53,57.66,59.36,57.18
57.38,58.40,58.52,56.68
58.18,57.77,58.72,57.16
58.23,56.26,58.24,55.38
56.18,58.32,58.94,56.13
57.70,58.40,58.71,57.31
58.83,59.76,59.92,58.81
60.28,61.96,62.80,60.20
61.96,61.25,61.99,61.12
62.02,60.55,62.43,60.12
60.45,59.96,60.73,59.03
60.00,61.21,61.22,59.77
60.90,61.47,62.04,60.88
61.85,61.64,62.26,61.07
60.88,60.83,61.74,60.66
61.42,63.24,64.00,61.42
63.03,62.96,63.59,61.65
69.30,68.74,71.54,68.15
68.73,68.06,69.24,67.52
67.91,69.53,70.00,67.02
70.02,69.14,70.35,68.75
68.86,68.00,69.83,67.68
67.80,67.11,68.16,66.70
68.05,71.10,71.22,67.44
70.19,68.87,70.19,68.82
68.89,68.09,69.32,67.98
68.20,67.86,68.68,67.26
68.14,68.07,68.32,67.27
68.10,66.60,68.64,66.01
66.60,66.97,67.38,66.33
66.25,65.13,66.56,64.57
