WGBS,WaferGen Bio-systems,NASDAQ
2.40,2.42,2.45,2.20
2.40,2.30,2.40,2.25
2.33,2.37,2.39,2.25
2.30,2.35,2.40,2.30
2.37,2.35,2.50,2.32
2.45,2.40,2.45,2.35
2.40,2.40,2.40,2.30
2.40,2.35,2.45,2.34
2.45,2.45,2.45,2.40
2.50,2.40,2.50,2.35
2.35,2.40,2.40,2.35
2.35,2.30,2.35,2.25
2.40,2.25,2.40,2.25
2.25,2.21,2.40,2.15
2.25,2.21,2.25,2.21
2.15,2.20,2.25,2.15
2.15,2.16,2.20,2.14
2.17,2.30,2.30,2.17
2.35,2.30,2.40,2.30
2.45,2.39,2.50,2.35
2.35,2.35,2.35,2.35
2.36,2.40,2.40,2.35
2.40,2.40,2.40,2.35
2.35,2.16,2.40,2.11
2.20,2.24,2.24,2.16
2.24,2.22,2.24,2.10
2.25,2.18,2.25,2.16
2.20,2.36,2.36,2.20
2.40,2.31,2.40,2.20
2.25,2.25,2.30,2.16
2.20,2.18,2.30,2.10
2.10,2.05,2.10,2.05
2.05,2.08,2.08,2.05
2.08,2.05,2.08,2.05
2.08,2.05,2.08,2.05
2.01,2.00,2.05,2.00
2.00,2.00,2.04,2.00
1.98,2.00,2.00,1.90
2.00,2.05,2.05,1.90
1.96,2.00,2.00,1.95
2.05,2.00,2.05,1.95
2.02,2.10,2.10,1.96
2.10,2.00,2.10,1.96
2.05,2.00,2.05,1.98
2.00,2.15,2.17,2.00
2.45,2.50,2.50,2.22
2.62,2.70,2.70,2.55
2.75,2.41,2.75,2.40
2.40,2.42,2.55,2.40
2.40,2.50,2.50,2.40
2.50,2.70,2.70,2.50
2.70,2.65,2.70,2.60
2.50,2.50,2.65,2.50
2.53,2.45,2.53,2.45
2.50,2.65,2.65,2.50
2.65,2.71,2.85,2.65
2.80,2.80,2.84,2.75
2.75,2.81,2.82,2.75
2.79,2.92,2.95,2.79
2.96,2.88,2.97,2.85
2.90,2.90,2.90,2.85
2.90,2.85,2.90,2.80
2.90,2.92,2.95,2.86
2.91,2.85,2.92,2.85
2.94,2.88,2.94,2.88
2.90,2.98,3.00,2.90
3.00,3.00,3.15,2.96
3.06,2.44,3.06,2.11
2.44,2.42,2.57,2.40
2.47,2.50,2.50,2.46
2.51,2.44,2.51,2.40
2.41,2.36,2.45,2.36
2.32,2.35,2.49,2.32
2.39,2.38,2.39,2.20
2.20,2.39,2.40,2.20
2.39,2.35,2.39,2.20
2.20,2.25,2.45,2.20
2.19,2.40,2.50,2.09
2.40,2.20,2.40,2.16
2.22,2.20,2.35,2.06
2.10,2.09,2.25,2.05
2.04,2.20,2.20,2.04
2.15,2.20,2.20,2.08
2.08,2.05,2.12,2.05
1.98,1.95,2.08,1.72
1.90,1.70,1.90,1.65
1.70,1.96,1.96,1.66
2.00,1.78,2.00,1.74
1.80,1.82,1.90,1.70
1.90,2.15,2.20,1.83
2.39,2.09,2.39,2.09
2.01,2.10,2.20,2.01
2.01,2.05,2.15,2.01
2.05,2.00,2.09,2.00
1.80,1.90,1.95,1.75
1.77,1.95,2.00,1.61
1.65,1.60,1.65,1.31
1.51,1.70,1.75,1.51
1.70,1.55,1.70,1.55
1.58,1.60,1.70,1.58
1.60,1.60,1.65,1.50
1.60,1.60,1.65,1.60
1.64,1.64,1.64,1.56
1.55,1.51,1.60,1.50
1.55,1.52,1.55,1.52
1.50,1.47,1.51,1.43
1.45,1.41,1.45,1.40
1.42,1.40,1.43,1.35
1.35,1.38,1.41,1.30
1.38,1.45,1.54,1.35
1.45,1.41,1.50,1.41
1.39,1.41,1.41,1.39
1.50,1.45,1.53,1.45
1.49,1.47,1.50,1.35
1.45,1.45,1.50,1.45
1.49,1.47,1.50,1.47
1.50,1.45,1.51,1.42
1.46,1.40,1.46,1.40
1.41,1.43,1.43,1.41
1.42,1.43,1.43,1.37
1.43,1.26,1.43,1.25
1.30,1.25,1.30,1.12
1.25,1.15,1.25,1.15
1.18,1.37,1.37,1.17
1.37,1.22,1.37,1.18
1.18,1.07,1.23,0.92
1.07,1.05,1.07,1.05
1.05,1.03,1.06,1.01
1.01,1.05,1.20,1.01
1.06,1.13,1.14,1.06
1.08,1.15,1.30,1.08
1.19,1.20,1.26,1.17
1.19,1.18,1.25,1.13
1.18,1.15,1.20,1.12
1.17,1.12,1.17,1.12
1.12,1.18,1.18,1.11
1.17,1.18,1.22,1.17
1.17,1.19,1.20,1.17
1.19,1.20,1.22,1.13
1.16,1.13,1.18,1.10
1.15,1.18,1.18,0.96
1.15,1.12,1.20,1.12
1.10,1.05,1.10,1.04
1.06,1.20,1.21,1.04
1.21,1.21,1.25,1.20
1.21,1.17,1.21,1.15
1.16,1.21,1.21,1.16
1.19,1.20,1.21,1.14
1.22,1.22,1.22,1.16
1.22,1.22,1.23,1.17
1.25,1.22,1.25,1.22
1.24,1.27,1.30,1.22
1.27,1.36,1.36,1.23
1.35,1.48,1.49,1.32
1.50,1.35,1.51,1.31
1.32,1.30,1.36,1.20
1.30,1.25,1.31,1.21
1.25,1.30,1.35,1.21
1.28,1.27,1.28,1.25
1.34,1.28,1.34,1.25
1.28,1.26,1.28,1.22
1.27,1.35,1.49,1.27
1.35,1.29,1.35,1.23
1.29,1.28,1.30,1.26
1.28,1.29,1.30,1.27
1.28,1.28,1.29,1.24
1.24,1.16,1.24,1.15
1.16,1.17,1.17,1.16
1.17,1.19,1.19,1.16
1.22,1.30,1.30,1.22
1.28,1.30,1.45,1.23
1.26,1.40,1.42,1.26
1.38,1.44,1.51,1.38
1.41,1.47,1.47,1.40
1.50,1.56,1.65,1.50
1.50,1.64,1.65,1.50
1.69,1.59,1.69,1.55
1.59,1.53,1.61,1.51
1.53,1.55,1.55,1.52
1.54,1.45,1.55,1.41
1.46,1.46,1.46,1.46
1.49,1.48,1.49,1.48
1.46,1.50,1.60,1.45
1.45,1.58,1.61,1.45
1.55,1.49,1.55,1.48
1.49,1.52,1.52,1.44
1.52,1.51,1.52,1.51
1.45,1.53,1.60,1.45
1.48,1.45,1.51,1.45
1.46,1.45,1.50,1.45
1.43,1.53,1.53,1.43
1.48,1.53,1.53,1.45
1.50,1.56,1.58,1.50
1.54,1.53,1.55,1.50
1.50,1.50,1.50,1.45
1.42,1.45,1.49,1.42
1.43,1.43,1.45,1.42
1.42,1.45,1.45,1.41
1.42,1.48,1.60,1.40
1.40,1.47,1.55,1.40
1.45,1.41,1.45,1.41
1.40,1.40,1.41,1.37
1.37,1.35,1.37,1.35
1.35,1.40,1.45,1.35
1.43,1.50,1.50,1.40
1.45,1.37,1.47,1.35
1.38,1.45,1.50,1.38
1.50,1.40,1.50,1.40
1.45,1.45,1.45,1.37
1.45,1.55,1.55,1.45
1.55,1.55,1.62,1.55
1.55,1.55,1.55,1.45
1.60,1.60,1.60,1.55
1.56,1.70,1.76,1.56
1.70,1.81,1.82,1.70
1.82,1.75,1.83,1.73
1.74,1.75,1.78,1.74
1.74,1.76,1.81,1.74
1.74,1.80,1.82,1.70
1.78,1.81,1.81,1.72
1.76,1.64,1.78,1.64
1.63,1.53,1.65,1.51
1.59,1.54,1.59,1.45
1.54,1.54,1.54,1.41
1.50,1.50,1.54,1.50
1.50,1.46,1.50,1.45
1.50,1.50,1.50,1.50
1.44,1.41,1.44,1.41
1.44,1.37,1.44,1.37
1.38,1.44,1.45,1.38
1.37,1.39,1.42,1.36
1.40,1.41,1.41,1.38
1.38,1.60,1.65,1.38
1.50,1.60,1.60,1.40
1.50,1.41,1.60,1.41
1.40,1.35,1.42,1.35
1.38,1.36,1.38,1.32
1.36,1.33,1.40,1.32
1.35,1.27,1.35,1.27
1.22,1.31,1.44,1.22
1.34,1.28,1.34,1.20
1.30,1.22,1.30,1.22
1.21,1.15,1.22,1.11
1.14,1.12,1.15,1.11
1.12,1.15,1.15,1.10
1.14,1.13,1.15,1.13
1.12,1.13,1.14,1.06
1.10,1.20,1.20,1.09
1.14,1.31,1.32,1.14
1.23,1.35,1.35,1.16
1.23,1.26,1.30,1.18
1.20,1.22,1.26,1.20
1.33,1.25,1.33,1.18
1.21,1.20,1.23,1.18
1.20,1.16,1.30,1.15
1.18,1.20,1.20,1.14
1.20,1.15,1.20,1.12
1.15,1.07,1.15,1.07
1.06,1.15,1.15,1.03
1.10,1.11,1.14,1.04
1.13,1.15,1.15,1.08
1.13,1.19,1.19,1.13
1.20,1.24,1.25,1.15
1.21,1.13,1.25,1.13
1.11,1.10,1.15,1.05
1.09,1.05,1.09,1.03
1.06,1.05,1.07,0.98
1.03,1.00,1.08,1.00
1.04,1.00,1.10,0.98
1.02,1.00,1.04,0.99
1.01,1.30,1.30,1.01
1.21,1.29,1.30,1.21
1.29,1.26,1.29,1.20
1.20,1.28,1.29,1.20
1.24,1.26,1.28,1.21
1.25,1.25,1.25,1.25
1.25,1.22,1.26,1.15
1.18,1.25,1.26,1.15
1.24,1.24,1.24,1.22
1.22,1.20,1.23,1.20
1.20,1.16,1.20,1.14
1.15,1.15,1.18,1.14
1.16,1.19,1.21,1.14
1.19,1.19,1.20,1.18
1.19,1.20,1.20,1.18
1.20,1.20,1.20,1.20
1.18,1.18,1.19,1.14
1.15,1.03,1.15,1.03
1.05,1.00,1.05,0.98
1.04,1.01,1.04,0.98
1.02,1.03,1.04,1.00
1.03,0.98,1.04,0.96
1.01,1.05,1.05,1.01
1.09,1.09,1.15,1.07
1.09,0.96,1.09,0.96
0.98,0.99,0.99,0.98
1.14,1.07,1.15,0.99
1.13,1.13,1.13,1.08
1.08,1.08,1.11,1.08
1.08,1.08,1.08,1.08
1.00,1.05,1.10,1.00
1.00,0.99,1.00,0.98
0.98,0.90,0.99,0.90
0.97,0.93,0.97,0.89
0.94,0.92,0.94,0.90
0.96,0.95,0.97,0.92
0.97,0.90,0.97,0.87
0.90,0.93,0.93,0.85
0.93,0.88,0.94,0.88
0.89,0.90,0.90,0.83
0.90,0.84,0.90,0.80
0.84,0.84,0.86,0.83
0.87,0.94,0.94,0.87
0.95,1.00,1.05,0.95
1.02,0.95,1.04,0.87
0.97,0.97,0.97,0.93
0.91,0.88,0.94,0.86
0.98,0.95,0.98,0.80
0.90,0.85,0.90,0.84
0.85,0.82,0.88,0.82
0.83,0.83,0.90,0.83
0.90,0.84,0.90,0.83
0.85,0.82,0.85,0.82
0.81,0.80,0.83,0.80
0.83,0.78,0.83,0.74
0.82,0.80,0.82,0.74
0.80,0.75,0.80,0.74
0.72,0.75,0.85,0.72
0.76,0.70,0.76,0.70
0.65,0.68,0.71,0.65
0.69,0.70,0.70,0.68
0.70,0.70,0.70,0.68
0.68,0.78,0.78,0.67
0.75,0.74,0.75,0.67
0.72,0.81,0.85,0.68
0.81,0.87,0.87,0.80
0.85,0.74,0.87,0.72
0.76,0.69,0.76,0.69
0.75,0.72,0.75,0.72
0.73,0.71,0.73,0.70
0.71,0.69,0.72,0.65
0.68,0.64,0.68,0.63
0.72,0.67,0.72,0.60
0.65,0.63,0.65,0.60
0.63,0.55,0.63,0.45
0.58,0.53,0.58,0.49
0.53,0.52,0.54,0.52
0.53,0.48,0.53,0.47
0.50,0.52,0.53,0.50
0.52,0.48,0.52,0.46
0.46,0.46,0.50,0.42
0.49,0.66,0.69,0.47
0.72,0.65,0.72,0.61
0.65,0.68,0.69,0.55
0.69,0.67,0.69,0.64
0.67,0.65,0.67,0.65
0.64,0.69,0.70,0.64
0.68,0.68,0.69,0.68
0.66,0.68,0.70,0.66
0.68,0.67,0.68,0.66
0.67,0.65,0.68,0.65
0.65,0.60,0.65,0.60
0.58,0.61,0.63,0.58
0.63,0.63,0.64,0.62
0.65,0.62,0.65,0.62
0.61,0.61,0.61,0.61
0.61,0.58,0.61,0.55
0.58,0.58,0.58,0.57
0.58,0.57,0.58,0.57
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.57,0.60,0.60,0.57
0.57,0.55,0.57,0.53
0.55,0.50,0.55,0.49
0.50,0.53,0.53,0.50
0.53,0.57,0.57,0.53
0.55,0.54,0.55,0.53
0.53,0.53,0.54,0.52
0.52,0.57,0.57,0.52
0.57,0.61,0.61,0.57
0.61,0.61,0.61,0.60
0.61,0.67,0.67,0.61
0.67,0.62,0.67,0.62
0.62,0.56,0.62,0.56
0.56,0.59,0.59,0.56
0.59,0.59,0.59,0.59
0.56,0.53,0.56,0.53
0.53,0.54,0.54,0.53
0.53,0.52,0.53,0.50
0.54,0.54,0.54,0.54
0.54,0.55,0.57,0.54
0.57,0.52,0.57,0.52
0.58,0.52,0.58,0.49
0.52,0.49,0.55,0.48
0.49,0.49,0.50,0.49
0.50,0.50,0.50,0.49
0.49,0.54,0.54,0.45
0.48,0.52,0.52,0.46
0.48,0.50,0.50,0.48
0.50,0.50,0.50,0.50
0.44,0.44,0.50,0.44
0.44,0.44,0.45,0.44
0.44,0.41,0.44,0.41
0.43,0.41,0.43,0.41
0.41,0.41,0.41,0.41
0.44,0.49,0.49,0.44
0.44,0.46,0.46,0.41
0.40,0.44,0.44,0.40
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.42,0.41,0.42,0.40
0.41,0.45,0.45,0.41
0.45,0.45,0.45,0.41
0.42,0.37,0.42,0.36
0.37,0.40,0.40,0.37
0.41,0.40,0.41,0.40
0.40,0.40,0.40,0.40
0.42,0.42,0.42,0.42
0.43,0.42,0.43,0.42
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.40,0.40,0.40,0.40
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.40,0.40,0.40,0.40
0.36,0.36,0.36,0.36
0.35,0.35,0.35,0.35
0.35,0.34,0.35,0.33
0.34,0.32,0.34,0.28
0.30,0.30,0.30,0.29
0.30,0.30,0.30,0.26
0.29,0.29,0.29,0.29
0.29,0.30,0.30,0.29
0.27,0.31,0.31,0.27
0.31,0.31,0.31,0.31
0.29,0.28,0.29,0.27
0.28,0.28,0.28,0.28
0.30,0.30,0.31,0.30
0.30,0.28,0.30,0.28
0.28,0.28,0.28,0.23
0.33,0.30,0.33,0.30
0.30,0.31,0.31,0.30
0.31,0.31,0.42,0.31
0.30,0.30,0.30,0.29
0.29,0.29,0.29,0.29
0.29,0.28,0.29,0.25
0.28,0.31,0.31,0.22
0.35,0.30,0.35,0.30
0.29,0.28,0.29,0.28
0.28,0.28,0.28,0.26
0.28,0.28,0.28,0.28
0.26,0.29,0.29,0.26
0.27,0.25,0.27,0.25
0.26,0.25,0.26,0.25
0.25,0.25,0.26,0.25
0.26,0.28,0.28,0.25
0.25,0.25,0.25,0.24
0.22,0.25,0.29,0.22
0.25,0.25,0.25,0.25
0.28,0.28,0.28,0.28
0.24,0.23,0.24,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.18,0.23,0.23,0.18
0.19,0.19,0.19,0.18
0.19,0.20,0.20,0.18
0.20,0.18,0.20,0.18
0.20,0.20,0.20,0.20
0.18,0.17,0.20,0.17
0.16,0.20,0.20,0.16
0.20,0.20,0.20,0.20
0.19,0.20,0.20,0.18
0.20,0.20,0.20,0.20
0.19,0.18,0.19,0.18
0.18,0.15,0.18,0.15
0.15,0.15,0.15,0.10
0.18,0.18,0.18,0.18
0.12,0.17,0.17,0.12
0.13,0.17,0.17,0.13
0.16,0.13,0.16,0.13
0.14,0.18,0.18,0.14
0.18,0.15,0.18,0.15
0.15,0.18,0.18,0.13
0.18,0.20,0.20,0.15
0.15,0.18,0.20,0.15
0.16,0.16,0.16,0.16
0.16,0.16,0.18,0.16
0.14,0.13,0.15,0.13
0.13,0.13,0.14,0.13
0.13,0.14,0.14,0.13
0.12,0.11,0.14,0.11
0.11,0.10,0.12,0.09
0.10,0.13,0.14,0.10
0.16,0.14,0.16,0.14
0.12,0.12,0.13,0.12
0.12,0.12,0.13,0.12
0.13,0.13,0.13,0.13
0.12,0.12,0.12,0.12
0.12,0.12,0.13,0.11
0.12,0.13,0.13,0.10
0.12,0.16,0.16,0.11
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.13,0.14,0.13
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.15,0.15,0.14
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.11,0.15,0.15,0.11
0.12,0.12,0.12,0.12
0.11,0.11,0.11,0.11
0.12,0.12,0.12,0.12
0.13,0.20,0.23,0.13
0.24,0.18,0.24,0.18
0.16,0.22,0.22,0.16
0.22,0.18,0.22,0.18
0.20,0.20,0.20,0.18
0.20,0.20,0.20,0.16
0.16,0.20,0.20,0.16
0.17,0.19,0.20,0.17
0.17,0.20,0.20,0.17
0.18,0.18,0.20,0.18
0.20,0.22,0.22,0.18
0.24,0.21,0.24,0.21
0.18,0.19,0.19,0.18
0.19,0.19,0.19,0.19
0.20,0.20,0.20,0.19
0.19,0.19,0.20,0.19
0.19,0.18,0.19,0.18
0.18,0.18,0.18,0.13
0.18,0.17,0.18,0.17
0.16,0.16,0.16,0.16
0.16,0.14,0.16,0.14
0.15,0.15,0.15,0.15
0.15,0.19,0.20,0.15
0.14,0.15,0.15,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.16,0.16,0.19,0.15
0.16,0.15,0.16,0.15
0.15,0.15,0.16,0.14
0.14,0.14,0.14,0.14
0.14,0.16,0.16,0.14
0.18,0.16,0.19,0.14
0.17,0.15,0.17,0.15
0.15,0.15,0.15,0.15
0.14,0.20,0.20,0.14
0.20,0.20,0.20,0.20
0.19,0.20,0.20,0.14
0.15,0.15,0.18,0.15
0.15,0.15,0.15,0.15
0.15,0.14,0.15,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.15,0.15,0.15,0.15
0.19,0.15,0.19,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.15,0.14,0.15,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.11,0.14,0.09
0.12,0.13,0.14,0.12
0.12,0.13,0.13,0.10
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.10,0.10,0.10,0.10
0.14,0.14,0.14,0.14
0.11,0.11,0.14,0.11
0.12,0.12,0.12,0.12
0.14,0.14,0.14,0.14
0.10,0.11,0.11,0.10
0.14,0.12,0.14,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.14,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.13,0.12,0.13,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.11,0.11,0.11,0.11
0.15,0.11,0.15,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.08,0.10,0.06
0.07,0.10,0.10,0.07
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.07,0.10,0.10,0.07
0.08,0.11,0.11,0.08
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.07,0.10,0.10,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.08,0.09,0.09,0.08
0.09,0.09,0.09,0.09
0.08,0.07,0.09,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.08,0.07,0.09,0.07
0.08,0.09,0.09,0.08
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.08,0.09,0.08
0.08,0.08,0.08,0.08
0.07,0.08,0.08,0.07
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.08,0.09,0.07
0.09,0.09,0.09,0.08
