WIT,Wipro Limited Common Stock,NASDAQ
22.70,22.62,22.75,22.44
22.85,23.28,23.28,22.69
23.34,23.00,23.40,22.97
23.35,22.14,23.35,22.05
22.10,22.33,22.34,22.06
22.34,22.18,22.60,21.88
22.44,23.43,23.64,22.44
23.99,23.70,23.99,23.46
22.01,22.08,22.32,21.50
22.08,22.18,22.33,21.51
22.45,23.21,23.36,22.11
23.30,22.80,23.30,22.74
22.89,22.75,22.95,22.58
22.52,21.73,22.95,21.73
22.35,21.87,22.35,21.61
22.11,21.48,22.11,21.47
21.44,20.83,21.44,20.55
21.32,20.36,21.50,20.19
20.21,19.69,20.63,19.65
19.84,20.99,21.00,19.75
20.90,20.67,20.90,20.32
20.70,20.90,20.96,20.52
20.40,19.78,20.48,19.70
19.73,19.56,19.73,19.10
19.43,19.33,19.69,19.18
19.56,20.01,20.12,19.56
19.95,20.03,20.11,19.75
20.14,20.54,20.57,19.91
20.38,20.53,20.67,20.15
21.03,21.20,21.24,20.86
21.25,21.10,21.50,20.93
20.68,21.21,21.29,20.60
21.42,20.96,21.42,20.85
21.37,21.07,21.37,20.92
21.06,20.79,21.11,20.73
20.64,21.01,21.10,20.61
21.55,21.21,21.55,20.77
21.50,21.62,21.76,21.09
21.75,22.37,22.44,21.75
22.59,22.85,23.05,22.59
22.88,22.59,22.88,22.35
22.75,22.41,22.75,22.27
22.69,22.62,22.77,22.28
23.26,22.87,23.32,22.66
22.94,22.93,23.13,22.84
22.99,22.89,23.06,22.75
23.06,22.88,23.06,22.68
23.29,22.97,23.29,22.83
23.20,23.33,23.44,22.99
23.25,23.44,23.50,23.25
23.50,24.21,24.29,23.50
24.22,23.95,24.22,23.70
23.25,23.25,24.10,23.24
23.27,23.43,23.71,23.00
23.74,23.66,23.75,23.26
23.95,23.10,23.95,23.10
23.20,22.92,23.44,22.87
23.27,23.05,23.86,22.85
23.25,23.33,23.60,23.09
23.18,23.40,23.45,22.91
23.39,23.31,23.51,23.08
23.56,24.02,24.21,23.56
24.03,24.60,24.66,24.03
24.74,24.01,24.74,23.91
23.86,23.43,24.08,23.15
23.12,23.36,23.43,23.10
23.43,23.61,23.62,23.36
23.52,23.45,23.66,23.39
23.64,23.70,23.93,23.43
24.00,24.31,24.36,23.85
24.31,24.30,24.41,24.11
24.19,23.69,24.26,23.54
23.40,23.26,23.66,23.06
23.41,23.54,23.66,23.30
23.66,23.53,23.71,23.38
23.44,24.01,24.17,23.35
24.35,23.31,24.35,23.00
23.19,23.46,23.60,23.10
23.40,22.48,23.51,22.43
22.46,22.57,22.81,22.36
22.53,23.00,23.05,22.35
23.07,22.46,23.07,22.34
22.46,22.71,22.79,22.45
22.45,21.73,22.48,21.61
21.07,21.31,21.75,20.02
20.37,20.53,21.30,19.73
20.13,20.32,20.89,19.92
21.42,22.24,22.25,21.27
21.89,22.00,22.32,21.67
22.06,22.28,22.30,21.38
22.24,21.99,22.41,21.96
21.64,21.55,22.36,21.32
21.42,21.19,21.60,20.79
20.91,21.06,21.57,20.91
20.46,20.85,21.00,20.25
20.86,20.15,20.86,19.78
20.00,20.51,20.98,19.61
20.09,20.29,20.69,20.09
19.21,20.32,20.33,18.84
20.97,20.28,21.22,20.27
21.08,21.68,21.75,20.56
21.67,21.15,21.82,21.15
20.53,20.66,21.29,20.51
20.58,21.20,21.21,20.54
21.52,21.64,21.67,21.29
21.19,20.62,21.49,20.51
20.92,20.11,20.92,20.06
20.30,20.22,20.40,19.90
20.22,19.77,20.22,19.66
20.31,20.66,20.74,20.05
20.66,20.64,20.69,20.25
20.92,21.27,21.78,20.76
21.51,22.19,22.33,21.22
21.74,22.52,22.59,21.74
22.52,22.21,22.64,21.95
21.86,22.08,22.40,21.66
22.50,22.44,23.00,22.16
22.46,21.65,22.52,21.60
13.33,12.90,13.53,12.76
12.56,12.64,12.95,12.56
12.66,12.60,12.78,12.48
12.59,12.62,12.70,12.48
12.30,12.05,12.37,12.00
12.11,12.00,12.25,11.92
12.00,11.94,12.06,11.75
12.04,11.88,12.15,11.80
12.16,12.24,12.39,12.10
12.24,12.45,12.49,12.20
12.57,12.57,12.72,12.43
12.60,12.99,13.06,12.54
12.87,12.95,13.19,12.85
12.94,13.03,13.24,12.73
12.94,13.06,13.09,12.91
13.13,12.90,13.22,12.80
12.85,12.34,12.85,12.34
12.46,12.57,12.60,12.39
12.50,12.79,12.79,12.27
12.98,12.66,12.98,12.56
12.98,13.28,13.29,12.81
13.56,13.26,13.58,13.01
13.26,13.42,13.44,13.16
13.66,13.44,13.66,13.32
13.29,13.31,13.35,13.20
13.49,13.35,13.56,13.13
13.17,13.60,13.60,13.16
13.79,13.63,13.79,13.55
13.70,13.75,13.90,13.55
13.91,13.94,14.02,13.71
13.80,13.68,13.90,13.60
13.60,13.88,13.89,13.56
14.21,13.93,14.21,13.89
13.75,13.80,13.88,13.59
13.55,13.21,13.62,13.21
13.08,13.23,13.33,13.01
13.21,13.20,13.39,13.18
13.09,13.23,13.29,13.08
13.31,13.45,13.56,13.23
13.50,13.61,13.72,13.44
13.65,13.33,13.65,13.25
13.29,13.35,13.41,13.12
13.47,13.32,13.53,13.25
13.05,12.93,13.08,12.86
12.91,12.94,13.21,12.64
13.12,12.56,13.15,12.48
12.73,13.08,13.46,12.60
13.10,12.95,13.10,12.90
12.75,12.83,12.95,12.73
12.99,13.10,13.10,12.96
13.04,13.09,13.10,12.91
13.11,13.54,13.54,13.07
13.33,12.97,13.33,12.83
13.00,13.09,13.12,12.98
13.12,13.09,13.18,13.01
13.07,13.22,13.33,13.07
13.29,13.41,13.42,13.19
13.50,13.70,13.79,13.50
13.70,13.77,13.85,13.58
13.75,13.75,13.75,13.61
13.75,13.77,13.82,13.62
13.75,13.90,13.99,13.71
14.00,14.05,14.10,13.98
14.24,14.25,14.36,13.96
14.20,14.13,14.26,14.08
14.35,14.65,14.67,14.24
14.67,14.42,14.73,14.37
14.44,14.48,14.54,14.14
14.55,14.65,14.72,14.44
14.76,14.46,14.89,14.46
14.83,15.64,15.81,14.80
15.72,15.40,15.72,15.29
15.70,15.68,15.70,15.39
15.78,15.71,15.95,15.61
15.61,15.55,15.74,15.36
15.72,15.73,15.76,15.55
15.68,15.73,15.85,15.66
15.67,15.82,15.86,15.53
16.07,16.24,16.24,16.02
16.35,16.77,16.81,16.33
16.68,16.60,16.70,16.20
16.28,16.53,16.54,16.15
16.34,16.09,16.56,16.00
16.18,16.33,16.35,16.02
16.50,16.52,16.79,16.31
15.60,15.41,15.69,15.33
15.28,14.41,15.28,14.39
14.77,14.64,14.77,14.18
14.66,14.55,14.66,14.40
14.68,14.53,14.80,14.47
14.40,14.28,14.48,14.26
14.37,14.57,14.62,14.33
14.88,14.76,14.90,14.65
14.80,14.80,14.84,14.59
14.88,15.03,15.09,14.82
14.96,15.05,15.23,14.93
15.03,14.92,15.15,14.81
15.26,14.86,15.33,14.85
15.11,14.98,15.11,14.86
14.95,14.56,14.95,14.53
14.43,14.47,14.60,14.33
14.60,14.34,14.65,14.32
14.07,13.81,14.12,13.75
13.99,13.73,13.99,13.67
13.89,13.86,13.95,13.84
13.74,13.53,13.82,13.44
13.66,13.86,13.88,13.54
13.79,13.64,13.80,13.60
13.76,13.85,13.87,13.68
13.91,13.71,13.93,13.64
13.73,13.69,13.84,13.50
13.60,13.69,13.73,13.55
13.90,13.78,13.97,13.77
