WMAR,West Marine,NASDAQ
8.26,8.43,8.47,8.25
8.46,9.00,9.21,8.45
8.97,9.00,9.19,8.61
8.96,9.00,9.10,8.93
8.95,9.09,9.14,8.95
9.08,9.16,9.41,9.05
9.11,9.14,9.18,9.01
9.14,9.21,9.34,9.10
9.16,9.11,9.19,8.97
9.13,8.95,9.13,8.87
8.94,9.15,9.15,8.86
9.07,8.97,9.15,8.79
8.93,8.50,9.06,8.50
8.50,8.51,8.67,8.44
8.60,8.60,8.73,8.42
8.54,8.42,8.60,8.40
8.40,8.38,8.49,8.38
8.40,8.38,8.43,8.34
8.40,8.39,8.62,8.35
8.45,8.42,8.53,8.38
8.40,8.27,8.52,8.27
8.23,8.34,8.38,8.14
8.28,8.16,8.29,8.06
8.18,8.24,8.27,8.12
8.21,8.21,8.34,8.20
8.32,8.28,8.34,8.20
8.23,8.24,8.29,8.19
8.20,8.50,8.50,8.19
8.40,8.63,8.66,8.40
8.65,8.78,8.82,8.60
8.79,8.93,8.98,8.76
8.90,9.19,9.21,8.83
9.16,9.26,9.35,9.00
9.25,9.37,9.50,9.24
9.33,9.31,9.42,8.99
9.36,9.40,9.41,9.15
9.23,9.44,9.45,9.20
9.40,9.43,9.66,9.40
9.47,9.63,9.65,9.21
9.60,9.90,10.03,9.47
9.88,10.01,10.12,9.83
9.99,10.06,10.25,9.65
10.07,10.18,10.26,9.86
10.18,10.60,10.74,10.18
10.61,10.78,10.88,10.43
10.81,10.79,10.96,10.66
10.77,11.04,11.20,10.68
11.05,10.98,11.05,10.69
10.93,10.98,11.04,10.72
11.04,11.09,11.16,9.97
11.06,11.31,11.44,11.02
11.11,11.28,11.50,11.11
11.46,11.41,11.67,11.17
11.48,11.64,11.75,11.18
11.39,11.70,11.79,11.35
11.67,11.32,11.67,11.30
11.32,11.36,11.65,11.21
11.36,11.28,11.69,11.25
11.36,11.33,11.47,11.09
11.16,11.20,11.36,10.99
11.14,10.85,11.36,10.80
10.88,10.92,10.98,10.57
10.78,11.06,11.26,10.78
10.94,11.26,11.46,10.94
11.18,11.24,11.40,11.13
11.18,11.16,11.25,11.10
11.13,11.00,11.15,10.82
10.96,11.01,11.32,10.91
10.87,11.02,11.16,10.84
11.06,11.29,11.32,11.04
11.25,11.41,11.43,11.13
11.41,11.34,11.45,11.20
11.27,11.29,11.42,11.15
11.30,11.23,11.36,11.17
11.06,11.26,11.28,11.06
11.13,11.42,11.44,11.13
11.38,12.18,12.21,11.35
12.11,11.97,12.15,11.93
11.91,11.50,12.00,11.45
11.44,11.57,11.63,11.33
11.67,12.65,12.70,11.67
12.61,11.97,12.67,11.84
12.00,12.48,12.62,12.00
12.35,12.13,12.39,11.76
12.07,12.11,12.32,11.90
12.07,11.03,12.07,10.72
11.05,10.82,11.39,10.80
11.36,11.64,11.75,11.14
11.53,11.87,12.10,11.38
11.93,13.05,13.08,11.82
12.95,12.83,13.63,12.77
12.79,12.27,12.79,12.13
12.53,12.72,12.76,11.95
12.91,12.07,13.05,12.06
11.94,11.40,12.02,11.39
11.21,10.65,11.35,10.61
10.48,10.72,10.97,10.34
10.57,10.50,10.78,10.38
10.22,10.58,10.63,10.09
10.58,10.96,11.33,10.58
11.35,11.48,11.50,11.00
11.45,11.13,11.45,11.05
10.94,10.84,11.14,10.80
10.85,11.24,11.27,10.82
11.19,11.01,11.42,10.91
10.63,10.08,11.00,10.03
10.13,9.61,10.15,9.42
9.72,9.44,9.72,9.28
9.61,9.70,9.75,9.48
9.91,9.94,9.99,9.67
9.82,9.96,10.13,9.73
10.12,10.08,10.37,9.84
10.14,10.67,10.72,9.94
10.47,10.48,10.74,10.30
10.69,10.79,10.81,10.40
10.81,11.28,11.46,10.80
11.51,11.46,11.57,11.39
11.50,11.26,11.60,11.15
11.21,10.94,11.40,10.93
10.85,10.90,10.98,10.62
10.99,12.08,12.17,10.86
11.92,11.73,12.04,11.64
11.42,11.09,11.44,10.97
11.11,10.88,11.29,10.88
11.04,10.83,11.06,10.74
10.97,10.43,10.97,10.27
10.61,9.49,10.61,9.39
9.51,9.78,9.80,9.41
10.00,10.18,10.39,9.96
10.15,10.21,10.27,10.00
10.15,10.03,10.31,10.00
10.24,10.58,10.61,10.11
10.49,10.72,10.93,10.49
10.74,11.35,11.64,10.74
11.21,10.36,11.24,10.26
10.38,10.33,10.43,10.00
10.15,10.83,10.88,10.15
10.90,10.84,11.16,10.78
11.09,11.25,11.39,11.09
11.16,11.37,11.54,11.11
11.38,11.48,11.58,11.26
11.57,11.22,11.57,11.02
11.15,10.90,11.23,10.76
11.00,10.39,11.12,10.33
10.14,10.38,10.39,10.00
10.36,10.74,10.80,10.35
10.78,10.20,10.78,10.18
10.32,10.17,10.40,10.09
10.02,9.99,10.14,9.52
