WSO,Watsco,NASDAQ
49.48,49.64,49.79,49.24
49.82,48.28,49.82,47.96
48.26,48.61,48.98,48.26
48.58,49.36,49.52,48.36
49.02,49.23,49.39,48.87
49.35,48.88,49.35,48.56
48.44,48.89,48.97,47.86
48.36,49.16,49.29,48.36
49.19,49.75,50.13,49.15
52.24,51.26,52.24,50.26
51.21,51.66,51.84,50.96
51.31,51.00,51.92,50.53
50.86,51.12,51.57,50.77
50.92,50.56,51.49,50.35
51.06,50.60,51.06,50.13
50.31,50.25,50.61,49.94
50.05,50.36,50.42,49.68
50.32,49.93,50.50,49.51
49.96,47.96,50.29,47.90
48.05,47.86,48.51,47.34
48.00,49.51,49.83,47.84
49.22,49.02,49.49,48.54
48.63,48.50,49.29,48.33
48.50,49.88,49.96,48.46
49.88,49.52,50.47,49.37
49.97,49.52,50.12,49.26
49.26,49.11,49.94,48.51
49.10,50.68,50.70,48.75
50.23,52.32,52.32,50.17
52.77,53.77,54.86,52.77
55.97,57.55,58.17,54.26
56.68,56.50,57.36,55.96
56.25,58.11,58.41,56.25
58.14,57.40,58.50,57.23
57.10,56.99,57.67,56.75
57.11,57.40,57.48,56.67
56.81,57.73,57.83,56.40
57.60,57.84,58.18,57.44
57.86,59.16,59.19,57.78
59.43,58.63,59.97,58.33
58.91,58.21,58.91,58.14
58.50,58.49,58.74,57.85
59.00,58.68,59.23,58.37
58.90,58.35,59.06,58.22
58.32,57.86,58.51,57.38
57.70,58.08,58.36,57.33
57.73,58.67,58.67,57.66
59.05,58.89,59.05,58.06
58.97,59.39,59.54,58.68
59.42,59.07,59.84,58.88
59.07,59.99,60.00,59.03
59.77,58.31,60.00,58.15
57.09,57.09,58.53,56.68
56.81,58.32,58.39,56.49
58.76,59.53,59.81,58.59
59.57,58.15,59.59,58.14
58.63,57.36,58.64,57.27
57.09,57.16,57.77,56.80
57.16,57.53,57.75,57.02
57.36,57.10,57.55,57.02
57.00,56.88,57.41,56.74
57.37,57.51,57.85,56.73
57.90,57.92,58.51,57.55
57.87,58.85,58.97,57.48
58.70,58.42,58.84,58.06
58.12,57.78,58.12,57.42
57.79,58.24,58.26,57.16
58.52,58.44,58.83,57.92
57.99,58.87,58.95,57.54
59.24,60.24,60.25,59.24
60.01,60.98,61.44,59.86
61.01,60.61,61.79,60.55
60.53,60.17,60.74,59.00
60.27,59.67,60.36,59.32
59.55,61.15,61.19,59.52
57.06,62.53,65.59,57.06
62.65,62.00,62.69,61.75
62.11,61.63,62.52,61.58
61.49,59.80,61.93,59.66
60.10,59.94,60.52,59.58
60.49,60.49,60.60,59.87
60.64,59.22,60.89,59.16
59.38,60.00,60.27,59.15
59.14,58.91,59.62,58.19
58.52,58.53,59.32,57.83
58.33,56.96,59.20,50.30
56.35,54.65,57.04,54.29
55.95,58.23,59.91,55.95
57.52,57.92,59.01,57.00
58.20,58.54,58.90,57.61
58.52,58.54,58.99,57.94
58.18,57.69,58.18,56.99
58.03,57.80,58.58,56.20
58.50,57.50,58.98,57.12
57.41,56.60,57.84,55.79
55.35,53.86,55.54,53.83
52.92,54.18,54.52,52.39
53.86,53.44,54.39,53.12
52.20,54.00,54.14,51.49
54.85,55.53,57.32,54.23
56.64,59.94,60.00,56.64
59.93,58.55,59.93,58.48
58.04,56.29,58.40,56.23
56.91,58.69,58.74,56.15
59.24,59.77,60.04,58.77
58.96,55.90,58.96,55.81
55.80,53.64,55.89,53.54
53.90,54.88,55.12,52.94
55.57,55.31,56.23,54.76
56.72,56.03,57.03,55.18
55.89,56.24,56.55,54.88
56.98,56.42,57.37,56.19
56.78,58.27,58.30,56.45
57.82,58.41,58.92,57.82
58.44,58.14,58.44,56.97
58.49,58.68,58.87,57.85
59.72,57.92,59.97,57.51
57.85,56.52,58.25,56.38
56.37,56.66,57.12,55.86
56.28,57.20,58.22,56.08
57.66,58.32,58.59,57.02
58.39,58.98,59.69,57.50
58.07,57.44,58.65,56.78
57.44,57.92,59.44,57.40
