WTR,Aqua America,NASDAQ
17.47,17.48,17.60,17.00
17.57,17.53,17.80,17.32
17.56,17.56,17.61,17.46
17.56,17.59,17.61,17.41
17.55,17.67,17.68,17.51
17.76,17.59,17.76,17.55
17.51,17.57,17.69,17.44
17.57,17.74,17.74,17.56
17.73,17.78,17.81,17.63
17.73,17.59,17.88,17.43
17.64,17.58,17.82,17.51
17.53,17.37,17.53,17.15
17.39,17.36,17.59,17.27
17.40,17.14,17.40,17.05
17.26,17.13,17.26,17.03
17.09,16.92,17.11,16.91
16.80,16.84,16.95,16.75
16.89,16.64,16.97,16.60
16.79,16.59,16.91,16.59
16.65,16.78,16.82,16.55
16.83,17.20,17.21,16.74
17.20,17.17,17.30,17.05
17.14,16.88,17.22,16.85
16.86,16.92,16.94,16.74
16.98,16.73,17.09,16.73
16.82,16.75,16.88,16.68
16.60,16.80,16.80,16.58
16.65,16.69,16.75,16.50
16.57,16.59,16.71,16.45
16.76,16.85,16.87,16.67
16.89,17.05,17.07,16.88
17.04,17.34,17.35,17.04
17.31,17.38,17.55,17.28
17.45,17.30,17.57,17.26
17.24,17.27,17.38,17.19
17.24,17.27,17.35,17.13
17.21,17.49,17.49,17.02
17.51,17.12,17.51,17.03
17.11,16.66,17.15,16.65
16.72,16.62,16.84,16.57
16.69,16.83,16.90,16.69
16.70,16.71,16.90,16.68
16.71,16.75,16.79,16.64
16.68,16.76,16.80,16.65
16.76,16.73,16.84,16.68
16.71,16.75,16.77,16.66
16.71,16.84,16.86,16.69
16.79,16.88,16.92,16.73
16.91,16.92,17.00,16.85
16.92,17.06,17.06,16.86
17.03,17.34,17.44,17.02
17.41,17.58,17.64,17.35
17.53,17.53,17.60,17.48
17.49,17.48,17.53,17.36
17.44,17.46,17.54,17.32
17.38,17.34,17.48,17.33
17.36,17.21,17.46,17.21
17.20,17.20,17.27,17.02
17.29,17.42,17.43,17.17
17.40,17.63,17.65,17.38
17.57,17.57,17.73,17.43
17.63,17.63,17.75,17.55
17.62,17.96,17.97,17.60
17.94,18.03,18.06,17.85
18.04,17.89,18.05,17.74
17.81,17.79,17.90,17.71
17.76,17.92,17.92,17.66
17.95,17.88,18.00,17.81
17.89,17.97,17.98,17.81
18.00,17.97,18.00,17.75
17.93,18.08,18.14,17.89
18.05,18.08,18.12,17.90
18.00,18.00,18.06,17.92
18.04,18.21,18.24,18.00
18.24,18.41,18.45,18.22
18.37,18.44,18.52,18.28
18.57,18.47,18.57,18.39
18.58,18.46,18.60,18.40
18.45,18.32,18.64,18.32
18.41,18.46,18.52,18.31
18.49,18.41,18.52,18.22
18.42,18.33,18.60,18.30
18.34,18.68,18.73,18.33
18.54,18.44,18.65,18.37
18.41,18.28,18.61,18.19
18.21,17.75,18.32,16.80
17.73,17.39,18.03,17.36
17.85,18.03,18.05,17.47
17.89,17.69,18.08,17.67
17.75,18.05,18.06,17.72
17.92,17.97,18.10,17.82
17.94,17.97,18.18,17.76
17.98,17.88,18.15,17.64
17.93,17.72,18.09,17.68
17.72,17.58,17.79,17.40
17.42,16.95,17.42,16.77
16.78,16.91,16.94,16.52
16.90,16.99,17.22,16.90
16.75,17.01,17.06,16.54
17.09,17.15,17.34,16.88
17.38,17.39,17.57,17.29
17.37,17.45,17.65,17.31
17.39,17.21,17.70,17.18
17.32,17.33,17.34,17.13
17.43,17.43,17.43,17.27
17.23,16.93,17.37,16.89
17.00,16.76,17.04,16.76
16.74,16.83,16.87,16.65
16.89,16.73,16.97,16.70
16.89,17.00,17.03,16.86
16.93,17.05,17.11,16.88
17.12,17.35,17.49,17.12
17.42,17.66,17.68,17.38
17.63,17.64,17.76,17.50
17.69,17.70,17.76,17.53
17.70,17.77,17.81,17.57
17.95,17.72,17.95,17.63
17.75,17.40,17.83,17.40
17.31,17.20,17.42,17.17
17.20,17.19,17.33,17.00
17.18,17.46,17.46,17.03
17.39,17.62,17.75,17.28
17.38,17.20,17.47,17.11
17.22,17.68,18.10,17.18
17.58,17.48,17.65,17.38
17.51,17.56,17.67,17.44
17.66,17.85,17.93,17.63
17.93,18.67,18.71,17.89
18.72,18.66,18.76,18.48
18.59,18.76,18.79,18.52
18.70,18.58,18.79,18.56
18.69,18.79,18.82,18.56
18.70,18.91,18.99,18.66
18.90,19.00,19.00,18.69
18.94,18.49,19.00,18.48
18.50,18.80,18.81,18.50
18.63,19.55,19.56,18.57
19.65,19.00,19.65,18.94
19.25,19.35,19.46,19.11
19.26,19.50,19.54,19.23
19.61,19.88,19.88,19.47
19.93,20.01,20.08,19.87
20.00,19.72,20.04,19.64
19.78,19.42,19.95,19.28
19.35,19.49,19.56,19.16
19.64,19.87,20.00,19.63
19.75,19.87,19.96,19.48
19.92,19.87,19.94,19.61
19.75,19.99,20.10,19.75
19.89,19.79,19.99,19.58
19.92,19.97,19.99,19.78
19.75,19.96,20.00,19.60
19.67,19.46,19.74,19.32
19.21,19.40,19.60,19.03
19.31,19.18,19.47,19.16
19.06,19.27,19.29,19.01
19.45,19.52,19.60,19.22
19.54,19.56,19.64,19.28
19.43,19.23,19.52,18.94
19.07,19.16,19.18,18.92
19.24,19.18,19.42,19.16
18.94,19.05,19.25,18.92
18.90,19.63,19.72,18.90
19.61,19.63,19.84,19.56
19.76,19.89,19.91,19.50
19.88,19.86,19.97,19.72
19.85,19.88,19.98,19.58
