WWD,Woodward,NASDAQ
25.94,26.47,26.99,25.94
26.37,26.82,27.33,26.26
26.74,26.83,27.44,26.74
26.83,26.95,27.25,26.49
26.93,27.56,27.58,26.60
27.58,27.66,27.75,27.16
28.25,29.35,29.74,28.25
29.44,29.44,29.94,29.25
29.24,29.32,29.42,28.73
29.48,28.34,29.48,28.16
28.49,29.34,29.34,28.32
29.00,28.94,29.28,28.35
28.18,27.02,28.84,26.83
27.03,26.61,27.40,26.38
26.88,26.71,27.00,26.26
26.65,26.48,26.84,26.43
26.40,26.87,26.94,25.88
26.87,26.29,27.02,26.10
26.45,25.43,26.89,25.25
25.45,25.68,25.86,24.60
25.68,25.94,26.01,25.45
25.71,26.33,26.34,25.54
26.07,25.53,26.35,25.47
25.51,25.51,25.54,24.59
25.56,25.18,26.00,25.10
25.70,25.43,25.80,25.09
25.26,25.33,25.73,25.00
25.18,25.67,25.83,25.10
25.25,25.76,25.91,25.00
26.22,26.07,26.22,25.59
26.23,26.34,26.43,25.83
26.39,27.46,27.48,26.39
27.45,28.07,28.17,24.99
28.07,28.22,28.36,27.90
28.04,27.88,28.16,27.62
28.06,28.42,28.74,28.00
27.88,28.51,28.70,27.83
28.47,28.79,28.94,28.44
28.90,29.15,29.86,28.85
29.33,29.45,29.67,29.23
29.64,29.16,29.99,28.90
29.17,29.11,29.57,28.83
29.43,29.77,29.83,29.42
29.65,29.66,29.96,29.59
29.56,30.16,30.38,29.56
30.05,30.28,30.74,29.97
30.07,30.59,30.60,29.75
30.67,30.81,30.88,30.34
30.73,30.69,31.13,30.37
30.72,30.80,30.82,30.30
30.93,31.44,31.78,30.93
31.51,31.58,31.89,31.25
31.80,31.02,31.81,30.77
30.81,31.26,31.32,30.25
31.21,31.81,31.90,30.77
31.62,30.97,31.62,30.90
31.29,30.75,31.88,30.70
30.79,30.99,31.19,30.42
31.06,31.56,31.67,30.86
31.59,32.36,32.47,31.03
32.11,31.98,32.43,31.82
32.12,32.56,32.84,32.00
32.67,33.34,33.34,32.36
33.06,33.48,33.67,32.95
33.29,33.46,33.59,33.11
33.23,33.55,34.01,33.01
33.60,33.72,34.17,33.46
33.65,33.74,34.00,33.60
33.62,33.53,33.77,33.31
33.80,34.24,34.25,33.61
34.11,34.50,34.76,34.11
34.48,33.50,34.58,33.39
33.30,32.87,33.49,32.21
33.00,33.02,33.35,32.33
32.89,32.37,32.98,32.06
32.02,33.12,33.37,31.79
32.85,34.79,34.98,32.69
34.67,34.11,35.21,34.08
34.00,33.66,34.84,33.61
33.83,33.37,34.18,33.29
33.67,33.56,33.90,33.22
33.60,32.05,33.62,32.03
32.18,33.06,33.13,31.73
32.65,31.19,32.65,30.94
30.82,31.07,31.17,30.41
30.92,29.92,31.65,27.30
29.88,28.62,29.88,28.38
29.48,30.80,30.86,29.37
30.25,31.04,31.80,30.25
31.25,32.00,32.07,31.25
31.82,31.84,32.25,31.72
31.38,31.02,31.90,30.64
31.26,30.45,31.81,29.87
31.00,30.01,31.21,29.81
29.81,29.31,30.19,28.76
28.51,27.08,28.51,27.04
26.87,27.30,27.42,26.06
27.10,26.97,27.42,26.47
26.25,27.34,27.44,25.74
27.55,27.66,28.28,27.30
28.43,29.43,29.46,28.14
29.41,28.70,29.41,28.45
28.44,27.65,28.83,27.60
27.81,28.06,28.08,27.14
27.97,28.51,28.66,27.71
27.66,27.57,28.41,27.42
27.67,26.74,28.09,26.72
26.51,26.60,26.85,25.79
26.90,26.39,27.21,26.26
26.96,27.76,27.79,26.96
27.31,27.92,27.96,27.22
28.38,28.17,28.95,28.05
28.35,29.45,29.54,28.06
29.20,29.87,30.11,29.20
29.99,29.34,30.24,29.05
29.56,29.48,30.01,29.09
30.27,29.10,30.56,28.89
29.24,28.21,29.61,28.18
28.09,27.66,28.15,27.45
27.50,27.39,27.76,27.10
27.58,27.65,28.07,27.30
27.57,27.29,27.79,27.23
26.93,26.03,27.01,25.80
26.03,25.53,26.40,25.52
25.54,25.04,25.56,24.48
25.23,24.79,25.47,24.66
25.39,24.64,25.67,24.44
24.78,26.54,26.58,24.78
26.75,27.01,27.31,26.46
27.04,27.77,27.80,26.94
27.58,27.04,27.75,26.65
27.43,28.28,28.39,27.23
28.34,28.71,28.86,27.90
28.67,28.35,28.86,27.84
28.04,26.86,28.09,26.75
26.91,26.94,27.07,26.17
26.43,27.52,27.62,26.25
27.79,26.85,27.88,26.77
27.42,27.96,28.04,27.32
27.74,28.28,28.36,27.53
28.46,28.98,29.00,28.07
29.23,29.77,30.23,29.23
29.63,29.02,29.99,28.50
29.47,30.43,31.90,29.02
29.80,30.24,30.74,29.80
30.90,30.35,30.90,30.00
30.19,30.50,30.97,29.99
30.60,30.71,30.89,30.50
30.43,30.47,30.95,30.29
30.06,30.36,30.49,29.42
30.62,30.59,30.75,30.11
30.09,30.12,30.53,29.49
29.48,28.51,29.78,28.43
27.96,28.15,28.40,27.52
27.95,28.00,28.39,27.82
27.73,28.05,28.37,27.40
28.39,28.89,29.28,28.35
28.82,28.73,29.05,28.40
28.47,27.65,28.51,27.55
27.41,27.36,27.78,26.77
27.50,26.56,27.62,26.52
26.09,26.07,26.68,25.66
25.84,26.29,26.43,25.55
26.35,25.97,26.90,25.94
26.39,27.03,27.09,25.61
26.82,26.02,26.99,25.99
25.91,26.12,26.74,25.86
26.73,27.89,27.91,26.65
27.80,28.42,28.47,27.70
28.86,29.31,29.39,28.56
29.23,28.53,29.24,28.41
28.67,29.04,29.56,28.37
29.46,28.72,29.60,28.50
28.74,28.56,28.98,28.33
28.91,29.98,30.34,28.91
29.91,29.61,30.03,29.50
29.44,29.69,29.88,28.83
29.53,29.23,29.79,28.94
29.67,29.56,29.86,28.72
29.62,30.89,30.96,29.15
30.93,30.89,31.15,30.56
30.67,30.04,31.23,29.93
29.66,29.41,30.15,29.35
30.03,30.89,30.98,29.93
30.85,30.38,30.87,30.09
30.44,31.30,31.39,29.82
31.20,31.99,32.20,31.19
32.44,32.42,33.18,31.78
32.90,32.04,32.90,31.77
31.80,30.98,32.14,30.64
31.52,32.56,32.77,31.07
32.37,32.69,32.97,32.28
32.98,32.47,33.14,32.13
32.35,32.89,33.12,32.07
32.77,32.63,32.94,32.47
32.38,32.52,32.75,31.73
32.64,32.95,33.21,32.44
32.79,32.94,33.28,32.65
33.30,31.53,33.30,31.10
31.49,32.25,32.26,31.17
31.71,31.27,32.31,31.00
31.51,31.93,32.23,31.51
32.15,32.05,32.65,31.62
32.12,32.10,32.30,31.77
32.47,32.16,32.60,32.03
31.87,31.98,32.39,31.68
31.66,31.79,31.83,31.32
32.14,31.50,32.30,31.11
31.31,31.34,31.64,31.17
31.53,31.01,31.93,30.70
31.44,32.28,32.32,31.27
32.25,32.21,32.32,31.59
32.67,33.16,33.17,32.49
33.19,33.58,33.91,33.08
33.33,33.23,33.49,32.97
32.88,32.96,33.36,32.84
32.98,33.37,33.42,32.46
32.94,33.57,33.81,32.77
33.12,33.17,33.65,32.93
33.51,33.20,33.68,33.08
32.77,32.53,33.02,32.02
31.88,30.51,32.83,30.01
30.98,31.20,31.50,30.90
31.15,32.16,32.21,30.96
31.91,32.30,32.48,31.62
31.85,32.24,32.25,31.76
32.35,33.98,34.01,32.34
33.66,33.88,34.05,33.60
33.50,34.03,34.17,32.88
33.51,33.71,33.86,32.94
34.50,35.55,35.72,34.29
35.68,37.09,37.10,35.57
36.70,37.95,38.12,36.41
37.85,37.85,38.06,37.50
38.48,38.64,39.52,38.33
38.82,38.54,39.10,38.01
38.84,38.10,38.89,37.97
37.70,38.10,38.20,36.78
38.17,37.87,38.17,37.69
37.89,38.25,38.42,37.89
38.21,37.82,38.61,37.62
37.95,38.37,38.54,37.69
38.30,38.23,38.39,37.62
38.25,38.19,38.50,37.79
38.50,38.82,38.90,38.33
38.83,39.06,39.31,38.41
38.98,38.54,39.03,38.48
38.42,38.58,38.68,38.18
38.77,38.34,38.77,38.13
38.30,38.18,38.76,38.15
38.19,37.69,38.35,37.68
37.54,37.56,38.22,37.54
38.17,38.66,39.31,38.15
39.03,37.81,39.03,36.98
37.61,38.46,38.85,37.55
38.45,37.78,38.80,37.58
37.77,36.68,37.98,35.93
36.25,37.32,37.49,36.04
37.45,36.95,37.91,36.74
37.11,36.81,37.45,36.57
36.81,36.13,36.81,35.83
36.12,36.04,36.16,35.82
35.85,36.70,36.70,35.60
36.56,35.56,36.78,35.49
35.31,34.91,35.81,34.82
35.19,35.01,35.40,34.83
34.92,35.49,36.34,34.90
33.51,35.42,35.43,32.79
35.40,35.06,35.62,34.59
35.10,34.61,35.10,34.43
34.51,33.51,34.54,33.34
35.50,33.72,35.51,33.61
33.79,34.07,34.22,33.39
33.84,34.66,34.85,33.84
34.69,34.88,35.01,34.38
34.97,34.50,34.97,33.81
34.23,34.35,34.79,33.82
34.20,34.35,34.46,33.79
33.91,34.29,34.34,33.57
34.16,34.59,34.72,34.01
34.35,35.34,35.45,34.22
35.20,35.00,35.61,34.67
34.96,34.88,34.99,34.40
35.02,35.11,35.24,34.87
35.01,35.56,35.57,34.96
35.88,35.86,35.88,35.08
35.65,33.69,35.65,33.50
33.66,32.55,34.96,32.35
32.67,32.25,32.98,31.86
32.22,32.99,33.06,32.14
33.40,32.89,33.63,32.63
33.10,31.70,33.10,31.29
31.59,31.94,32.04,31.32
32.34,32.91,33.10,32.12
33.08,32.31,33.23,31.70
32.50,31.86,33.02,31.38
31.74,32.62,32.95,31.41
32.66,32.86,33.00,32.29
32.18,31.67,32.22,31.34
31.58,31.89,32.14,31.00
31.37,31.74,32.00,31.29
30.66,31.67,31.94,30.46
31.50,31.15,32.08,31.00
31.69,31.12,31.69,30.65
31.31,32.03,32.38,31.31
32.39,33.11,33.47,32.32
33.25,33.00,33.45,32.76
32.86,32.94,33.25,32.27
33.11,33.21,33.56,32.76
33.33,33.72,34.41,33.00
33.87,33.51,34.03,33.38
33.43,33.95,34.06,33.17
34.26,34.24,34.39,34.11
34.09,34.56,34.74,33.95
34.90,35.28,35.58,34.43
35.45,35.43,35.77,35.15
35.42,35.42,35.71,35.27
35.64,35.12,35.99,35.04
35.21,34.08,35.30,34.08
34.46,33.42,34.46,33.12
33.48,33.45,34.00,33.25
33.30,32.60,33.40,32.41
32.75,32.55,33.29,32.03
32.06,32.98,33.04,32.00
32.75,33.31,33.60,32.23
32.75,32.69,33.23,32.47
32.41,32.56,32.99,32.10
33.13,33.81,33.85,33.13
34.15,33.97,34.25,33.68
33.61,34.07,34.25,33.58
35.93,37.23,37.53,35.01
37.22,37.28,37.50,36.61
37.53,36.89,37.57,36.73
37.08,37.05,37.18,36.56
37.05,36.98,37.35,36.53
36.74,36.45,37.32,36.24
36.50,35.48,36.65,35.43
35.19,35.25,35.83,34.73
35.91,35.62,36.04,35.25
35.44,35.88,36.35,35.11
36.20,36.96,37.24,35.86
36.44,36.16,36.83,35.85
36.10,36.48,36.61,35.46
36.43,35.92,36.67,35.47
35.61,35.20,36.08,35.20
35.06,34.65,35.24,34.02
34.75,35.21,35.24,34.03
35.57,35.69,36.00,35.16
35.38,34.84,35.46,34.60
34.13,33.67,34.17,33.54
33.99,33.43,34.18,33.03
33.14,34.09,34.22,33.07
33.83,34.31,34.41,33.24
34.46,34.58,34.75,34.29
34.98,35.22,35.25,33.81
35.29,33.04,35.64,32.90
32.96,33.23,33.80,32.79
32.41,32.15,33.24,31.90
32.08,31.42,32.45,31.06
31.68,31.54,31.94,31.09
31.26,31.29,31.74,31.00
31.52,31.79,32.09,31.29
31.41,31.05,31.71,30.95
31.14,30.99,31.51,30.93
31.52,31.81,32.04,31.52
31.28,31.61,31.97,31.16
31.72,31.88,32.30,31.30
32.22,31.52,32.45,31.39
31.39,32.19,32.36,31.39
32.44,32.91,32.96,31.91
32.57,32.88,33.38,32.57
32.30,32.60,32.69,31.50
32.60,32.36,33.10,31.51
32.32,33.12,33.29,31.96
33.12,34.14,34.19,32.82
34.21,34.36,34.48,33.69
34.27,34.86,35.13,34.19
34.95,35.71,35.93,34.74
35.65,35.24,35.69,34.92
35.18,35.85,35.89,35.02
36.10,36.34,36.76,35.77
35.71,36.73,36.88,35.71
36.07,35.55,36.69,35.35
35.32,35.54,35.99,35.32
35.78,35.81,36.24,35.62
35.90,35.08,36.05,34.87
35.15,35.76,35.78,34.75
35.51,34.77,35.70,34.42
35.03,35.74,35.75,34.90
35.68,35.24,35.77,35.02
35.41,36.32,36.33,34.77
36.25,36.78,36.90,35.94
36.08,36.52,36.76,36.08
36.71,36.16,37.20,35.40
35.92,34.65,35.92,34.60
34.67,34.59,35.54,34.48
34.32,34.50,34.93,33.84
35.18,34.35,35.43,33.71
33.98,32.56,34.55,32.52
32.68,32.48,33.09,31.39
32.04,30.51,32.45,30.50
30.87,29.34,31.32,28.79
28.24,25.66,29.37,25.60
26.47,27.65,27.69,24.39
29.25,26.82,29.29,26.55
27.04,29.33,29.85,26.61
29.65,29.96,30.27,29.35
30.34,30.85,30.93,29.97
30.35,29.83,30.70,29.50
30.09,29.85,30.29,29.54
28.68,27.20,28.76,26.97
26.56,26.42,27.96,26.27
27.27,26.67,27.68,26.43
26.83,28.86,28.93,26.52
28.59,29.65,29.79,28.13
29.97,29.13,30.10,28.82
28.76,30.05,30.27,28.29
30.49,31.74,31.80,30.14
31.47,32.13,32.39,30.37
32.24,32.42,33.07,31.78
32.58,30.74,32.68,30.35
29.68,28.89,30.14,28.62
28.01,28.93,29.39,27.58
29.71,30.03,30.10,29.25
29.87,29.36,30.36,28.95
28.95,27.99,29.35,27.57
27.30,28.23,28.24,27.12
28.47,29.01,29.16,28.07
28.72,29.61,30.25,28.40
30.06,30.58,30.63,29.77
30.80,30.60,30.89,30.21
29.84,30.03,30.50,29.40
30.25,29.13,30.85,29.12
28.98,28.06,29.57,28.01
26.97,27.04,27.77,26.40
27.03,27.50,27.95,26.97
27.80,28.61,28.68,27.08
29.58,29.63,30.95,29.02
29.78,28.23,30.87,28.13
29.16,28.49,29.50,27.47
27.81,27.40,28.65,27.35
27.07,25.57,28.15,25.46
25.39,28.45,28.50,25.39
28.61,29.74,29.95,28.12
29.69,30.44,30.49,28.96
30.60,29.58,30.76,29.46
30.36,30.73,30.80,29.95
30.38,30.74,31.23,30.37
30.85,31.50,31.85,30.85
31.17,31.60,31.80,30.53
31.85,32.11,32.24,31.32
31.73,30.26,32.25,30.15
30.43,32.36,32.65,30.21
32.22,31.08,32.41,30.90
31.11,30.99,31.17,30.12
31.66,31.84,31.91,31.00
32.03,33.15,33.39,31.12
32.89,31.79,33.10,31.68
32.47,32.63,32.94,31.04
33.94,35.60,36.31,32.81
35.31,35.17,35.61,34.80
34.34,33.88,34.66,33.80
32.04,32.45,34.35,32.00
33.22,33.75,33.84,32.71
34.36,35.72,35.90,33.99
35.08,35.61,35.69,34.46
35.43,35.20,35.77,34.42
35.44,35.85,35.93,34.42
34.42,34.31,35.00,34.05
35.08,34.53,35.50,34.16
35.16,35.84,35.97,35.04
35.56,35.82,35.82,35.02
