XLP,SPDR Select Sector Fund - Consumer Staples,NASDAQ
26.45,26.67,26.78,26.45
26.69,26.68,26.72,26.54
26.65,26.66,26.69,26.54
26.74,26.66,26.74,26.51
26.60,26.57,26.60,26.42
26.56,26.64,26.68,26.38
26.54,26.79,26.79,26.54
26.80,26.98,27.04,26.79
26.94,26.90,27.00,26.87
26.94,26.77,26.98,26.67
26.84,26.93,26.97,26.72
26.88,26.73,26.88,26.53
26.71,26.35,26.84,26.29
26.25,26.29,26.49,26.20
26.48,26.34,26.49,26.21
26.21,26.31,26.41,26.16
26.28,26.37,26.40,26.17
26.41,26.30,26.61,26.29
26.42,26.20,26.57,26.20
26.36,26.40,26.45,26.25
26.45,26.78,26.81,26.39
26.71,26.59,26.71,26.54
26.51,26.05,26.52,26.00
26.00,25.98,26.05,25.71
26.05,25.95,26.17,25.93
26.19,26.26,26.40,26.04
26.28,26.23,26.29,26.04
26.22,26.44,26.49,26.06
26.26,26.44,26.49,26.19
26.50,26.71,26.73,26.44
26.79,26.90,26.93,26.72
26.89,27.06,27.12,26.83
27.05,27.12,27.20,26.94
27.20,27.12,27.21,27.04
27.03,26.97,27.15,26.83
26.98,27.14,27.15,26.92
26.90,27.16,27.20,26.82
27.20,27.03,27.20,26.96
27.13,27.22,27.24,27.02
27.27,27.32,27.38,27.22
27.36,27.33,27.42,27.27
27.42,27.42,27.53,27.36
27.56,27.59,27.61,27.41
27.58,27.49,27.62,27.45
27.43,27.45,27.57,27.41
27.49,27.41,27.49,27.34
27.36,27.46,27.48,27.23
27.50,27.48,27.54,27.44
27.45,27.69,27.71,27.45
27.66,27.82,27.84,27.66
27.89,27.94,27.98,27.81
27.94,27.97,27.99,27.88
27.77,27.77,27.95,27.64
27.66,27.91,27.95,27.65
27.90,28.13,28.17,27.88
28.12,27.93,28.12,27.85
28.03,27.89,28.04,27.85
27.95,27.91,27.99,27.81
28.00,28.04,28.11,27.93
28.10,28.09,28.19,28.01
28.05,27.93,28.07,27.91
28.06,28.11,28.16,27.98
28.19,28.11,28.19,28.06
28.03,28.02,28.07,27.99
28.00,27.84,28.00,27.79
27.84,27.89,27.94,27.76
27.94,28.04,28.06,27.87
28.03,28.13,28.13,28.01
28.03,28.04,28.12,27.89
28.03,28.08,28.08,27.91
27.96,28.03,28.03,27.90
27.94,27.91,28.13,27.81
27.85,28.02,28.03,27.83
28.07,28.10,28.17,28.01
28.15,28.10,28.20,28.04
27.96,28.10,28.10,27.88
28.07,28.03,28.07,27.87
28.05,27.97,28.13,27.96
27.84,27.48,27.90,27.46
27.59,27.70,27.77,27.45
27.78,27.79,27.91,27.65
27.77,27.63,27.95,27.62
27.66,27.79,27.86,27.62
