XRX,Xerox Corporation Common Stock,NASDAQ
8.54,8.63,8.76,8.47
8.63,8.64,8.65,8.56
8.64,8.56,8.67,8.54
8.53,8.60,8.62,8.51
8.58,8.57,8.64,8.51
8.62,8.78,8.84,8.57
8.68,8.85,8.91,8.68
8.88,8.95,8.97,8.81
8.91,8.89,9.00,8.85
8.85,8.84,8.89,8.79
8.83,9.02,9.04,8.79
8.92,8.89,8.95,8.73
9.16,9.28,9.48,9.13
9.19,8.97,9.27,8.91
9.03,8.89,9.11,8.86
8.87,8.86,8.94,8.72
8.83,8.89,8.91,8.71
8.88,8.82,8.95,8.78
8.90,8.72,8.91,8.71
8.75,8.97,8.97,8.73
8.98,9.13,9.16,8.93
9.09,8.99,9.17,8.97
8.98,8.65,9.04,8.63
8.55,8.47,8.60,8.35
8.39,8.45,8.51,8.25
8.53,8.38,8.55,8.20
8.39,8.45,8.54,8.37
8.47,8.76,8.81,8.40
8.60,8.77,8.88,8.54
8.70,8.86,8.90,8.69
8.90,8.92,9.03,8.80
8.93,9.17,9.19,8.87
9.11,9.20,9.27,9.09
9.30,9.24,9.31,9.19
9.22,9.10,9.23,9.04
9.16,9.25,9.26,9.09
9.12,9.29,9.31,9.10
9.29,9.37,9.40,9.21
9.38,9.55,9.58,9.38
9.54,9.50,9.60,9.44
9.60,9.52,9.70,9.50
9.61,9.54,9.64,9.40
9.62,9.87,9.90,9.58
9.90,9.91,10.07,9.88
9.70,9.74,9.88,9.67
9.78,9.85,9.87,9.69
9.79,10.00,10.00,9.76
10.00,9.89,10.00,9.81
9.85,10.02,10.05,9.83
10.11,10.09,10.17,10.01
10.11,9.90,10.12,9.85
9.93,9.86,9.93,9.75
9.57,9.57,9.94,9.52
9.51,9.87,9.89,9.45
9.92,10.11,10.12,9.79
10.04,9.86,10.06,9.85
9.93,9.62,9.99,9.62
9.67,9.70,9.84,9.64
9.65,9.73,9.75,9.63
9.65,9.69,9.77,9.63
9.70,9.75,9.78,9.60
9.81,9.99,10.00,9.78
10.00,10.38,10.40,9.90
10.37,10.27,10.37,10.18
10.19,10.16,10.29,10.00
10.10,10.42,10.43,9.94
10.42,10.44,10.50,10.34
10.51,10.49,10.55,10.41
