ZNH,China Southern Airlines Company Limited Common Stock,NASDAQ
15.91,15.98,16.06,15.84
16.19,16.24,16.39,16.19
16.40,16.40,16.52,16.38
16.17,16.31,16.31,16.16
16.11,16.28,16.31,16.11
16.51,16.42,16.51,16.35
16.40,16.25,16.45,16.16
16.22,16.33,16.37,16.15
17.90,18.03,18.09,17.70
18.32,18.04,18.32,17.90
18.19,18.42,18.43,18.17
17.77,17.50,17.81,17.39
18.14,17.71,18.23,17.64
17.77,17.30,17.83,17.15
17.17,16.94,17.17,16.90
16.42,16.46,16.60,16.31
15.96,16.24,16.33,15.83
16.58,16.27,16.65,16.24
16.48,16.25,16.66,16.22
17.32,17.64,17.66,17.32
17.55,17.89,17.92,17.55
17.90,17.69,17.90,17.58
17.25,16.36,17.25,16.36
16.57,16.80,16.91,16.49
16.87,16.85,17.07,16.77
16.73,16.77,16.86,16.55
17.01,17.09,17.24,16.95
17.15,17.42,17.48,17.10
17.52,17.33,17.52,17.15
17.54,17.68,17.68,17.45
17.97,17.84,17.97,17.69
17.97,18.14,18.18,17.97
17.73,17.76,17.81,17.57
17.76,17.76,17.76,17.76
17.76,17.76,17.76,17.76
17.76,17.76,17.76,17.76
17.76,17.76,17.76,17.76
17.76,17.76,17.76,17.76
17.76,17.76,17.76,17.76
17.76,17.76,17.76,17.76
17.76,17.76,17.76,17.76
17.76,17.76,17.76,17.76
17.76,17.76,17.76,17.76
17.76,17.76,17.76,17.76
18.88,20.71,20.79,18.88
22.06,22.44,22.60,22.06
22.28,22.18,22.30,21.98
21.71,21.61,21.89,21.47
21.27,21.19,21.31,20.79
21.04,21.16,21.18,20.95
20.86,20.81,20.91,20.67
21.90,21.89,22.00,21.78
22.30,22.30,23.45,22.30
22.25,22.57,22.60,22.20
21.40,21.32,21.40,21.03
20.48,20.28,20.58,20.28
20.64,20.42,20.76,20.40
21.32,21.36,21.45,21.15
21.51,21.65,21.65,21.42
22.22,22.52,22.52,22.20
22.29,22.35,22.52,22.14
22.52,22.58,22.59,22.37
22.62,22.73,22.73,22.35
22.63,22.60,22.72,22.51
23.48,23.26,23.49,23.18
23.72,24.28,24.28,23.72
24.48,24.59,24.85,24.44
24.88,24.56,24.88,24.50
24.57,24.65,24.79,24.53
24.09,24.33,24.44,23.83
24.03,24.11,24.23,24.03
24.42,24.01,24.44,23.90
23.50,23.86,23.87,23.47
24.44,24.60,24.60,24.31
25.04,25.07,25.32,24.99
25.80,26.22,26.22,25.51
26.29,26.38,26.47,26.24
25.97,25.77,26.12,25.51
25.15,24.33,25.15,24.31
25.10,25.19,25.40,24.88
25.00,25.17,25.18,24.75
25.77,25.42,25.84,25.41
25.82,25.93,25.95,25.64
25.91,25.12,25.91,24.90
25.76,25.95,26.25,25.70
24.50,23.35,24.50,22.10
23.45,23.26,23.91,22.71
23.60,23.59,23.72,23.30
22.66,22.90,23.21,22.66
22.12,22.03,22.14,21.70
22.58,22.52,22.98,22.50
22.79,22.62,22.83,22.28
22.03,22.15,22.33,21.72
21.97,21.12,22.15,21.08
20.97,21.24,21.45,20.86
19.66,19.22,19.86,19.22
19.01,20.11,20.14,18.83
21.19,21.22,21.57,21.19
20.00,20.34,20.42,19.70
20.07,20.02,20.57,20.00
21.30,22.15,22.30,21.30
22.04,21.75,22.04,21.46
21.81,21.55,22.28,21.47
21.52,21.79,21.87,21.12
21.63,21.63,21.83,21.47
21.28,20.88,21.42,20.71
20.83,20.24,20.83,20.24
20.65,20.96,20.97,20.42
20.95,20.45,21.27,20.39
21.61,22.07,22.09,21.54
21.70,22.20,22.20,21.70
22.60,22.35,22.72,22.20
22.14,22.37,22.45,21.91
22.09,22.30,22.47,22.09
22.05,21.86,22.05,21.69
22.64,22.63,22.64,22.38
24.10,23.87,24.28,23.71
23.52,23.09,23.55,22.98
23.26,22.91,23.26,22.84
23.24,23.06,23.36,22.78
22.79,22.96,22.98,22.56
22.42,22.35,22.52,22.16
21.00,20.69,21.44,20.56
20.72,20.70,20.97,20.49
20.55,20.74,20.76,19.92
20.37,20.11,20.37,20.00
20.27,19.98,20.53,19.89
19.95,20.51,20.68,19.89
20.74,20.93,20.94,20.60
21.00,21.31,21.49,20.99
21.52,21.45,21.69,21.36
21.90,22.19,22.19,21.90
21.50,21.52,21.71,21.39
21.27,21.00,21.77,20.95
21.32,21.00,21.52,20.83
21.45,21.58,21.78,21.27
21.68,22.33,22.42,21.68
22.53,22.73,23.11,22.53
23.10,23.51,23.55,23.10
22.99,23.21,23.24,22.75
23.01,23.25,23.33,22.90
23.07,22.88,23.07,22.67
23.30,23.51,23.56,23.17
24.19,24.10,24.42,23.86
23.94,24.34,24.36,23.91
24.65,24.95,24.96,24.51
24.26,24.15,24.30,23.95
24.87,25.16,25.24,24.87
25.16,25.30,25.31,24.98
25.07,25.27,25.32,24.76
25.38,25.59,25.64,25.38
25.03,24.82,25.03,24.68
23.52,23.20,23.56,23.20
22.86,22.92,23.23,22.80
24.29,24.45,24.46,24.17
24.44,24.19,24.60,24.19
24.66,24.79,24.80,24.20
24.70,24.74,24.79,24.45
24.37,23.76,24.42,23.66
24.20,24.44,24.47,24.17
24.35,23.81,24.35,23.80
23.47,23.42,23.72,23.33
23.39,23.42,23.48,23.10
23.18,22.76,23.32,22.76
23.07,23.52,23.52,22.90
23.18,22.85,23.26,22.81
23.44,23.55,23.68,23.34
20.71,24.77,24.77,20.71
24.60,24.64,24.71,24.43
25.35,25.05,25.35,24.83
24.74,24.30,24.74,24.29
24.47,24.78,24.78,24.47
25.32,25.43,25.50,25.26
25.08,25.06,25.15,24.93
25.47,25.47,25.56,25.32
25.68,25.96,26.12,25.68
26.62,26.99,27.00,26.61
26.34,26.53,26.72,26.34
26.21,26.05,26.21,25.97
26.70,26.95,26.95,26.51
27.78,27.76,27.92,27.65
28.00,27.97,28.20,27.79
27.70,27.68,28.00,27.65
28.23,28.55,28.55,28.23
29.53,29.50,29.79,29.50
29.69,29.86,29.92,29.44
29.65,29.69,29.75,29.41
29.20,29.02,29.24,28.76
29.25,29.09,29.25,29.01
30.00,29.87,30.22,29.73
30.15,30.60,30.66,30.15
29.76,29.59,29.80,29.48
29.61,29.44,29.61,29.13
30.13,30.61,30.65,30.13
30.98,31.31,31.35,30.98
31.38,31.53,31.63,31.18
34.60,34.91,35.30,34.60
33.68,33.54,33.91,33.40
36.20,35.94,36.23,35.59
35.90,36.24,36.24,35.79
36.54,35.71,36.54,35.71
36.44,36.85,36.85,36.20
37.26,36.90,37.55,36.72
37.72,38.04,38.07,37.71
38.03,37.74,38.03,37.62
38.07,38.65,39.30,38.00
36.99,35.65,37.25,35.27
33.75,33.72,33.79,33.26
34.05,34.45,34.54,33.88
34.17,34.65,34.98,34.17
33.94,33.78,34.00,33.63
33.58,33.90,33.90,33.32
35.00,35.11,35.11,34.78
35.22,35.34,35.50,35.22
35.45,35.55,35.64,35.19
35.49,34.75,35.55,34.75
36.43,36.65,36.67,36.15
36.58,36.61,36.63,36.32
35.10,34.51,35.10,34.43
35.16,34.85,35.34,34.84
34.42,33.58,34.42,33.40
32.74,33.02,33.17,32.51
33.89,33.80,34.07,33.67
34.69,34.65,34.72,34.24
34.61,34.59,34.63,34.13
33.79,33.32,33.79,33.15
